('AMC Empire 25', 300, 'IMAX', 'USA, New York'),
('Village Cinemas Crown', 230, 'Standard', 'Australia, Melbourne'),
('Cineplex Cinemas Yonge-Dundas', 170, '3D', 'Canada, Toronto'),
('Fifth Avenue Cinemas', 240, 'Standard', 'Canada, Vancouver'),
('Cine Odeon Petrobras', 320, 'IMAX', 'Brazil, Rio de Janeiro'),
('Cine Belas Artes', 270, 'Standard', 'Brazil, Sao Paulo'),
('PVR Highstreet Phoenix', 190, '3D', 'India, Mumbai'),
('Delite Cinema', 220, 'Standard', 'India, Delhi'),
('Wanda Cinema CBD', 160, 'IMAX', 'China, Beijing'),
('Bona Cinema', 200, 'Standard', 'China, Shanghai'),
('Toho Cinemas Roppongi Hills', 290, '3D', 'Japan, Tokyo'),
('Osaka Station City Cinema', 240, 'Standard', 'Japan, Osaka'),
('CGV Yongsan', 200, 'IMAX', 'South Korea, Seoul'),
('Lotte Cinema Centum City', 230, 'Standard', 'South Korea, Busan'),
('Cinemex Antara', 170, '3D', 'Mexico, Mexico City'),
('Cinepolis Galerias Vallarta', 240, 'Standard', 'Mexico, Guadalajara'),
('Cinecittà Multisala', 320, 'IMAX', 'Italy, Rome'),
('Anteo Palazzo Cinema', 270, 'Standard', 'Italy, Milan'),
('Yelmo Cines Ideal', 190, '3D', 'Spain, Madrid'),
('Cinemes Girona', 220, 'Standard', 'Spain, Barcelona'),
('Cinema Park Krasnaya Ploshchad', 160, 'IMAX', 'Russia, Moscow'),
('Formula Kino Gorizont', 200, 'Standard', 'Russia, St. Petersburg'),
('Village Cines Recoleta', 300, '3D', 'Argentina, Buenos Aires'),
('Hoyts Dot Baires', 250, 'Standard', 'Argentina, Cordoba'),
('Ster-Kinekor Sandton City', 180, 'IMAX', 'South Africa, Johannesburg'),
('Nu Metro V&A Waterfront', 200, 'Standard', 'South Africa, Cape Town'),
('Prestige Cinema Prestige Plaza', 150, '3D', 'Kenya, Nairobi'),
('Sarit Centre IMAX', 220, 'Standard', 'Kenya, Mombasa'),
('Vox Cinemas Mall of the Emirates', 300, 'IMAX', 'UAE, Dubai'),
('Novo Cinemas Ibn Battuta Mall', 250, 'Standard', 'UAE, Abu Dhabi'),
('Cineco City Center', 180, '3D', 'Qatar, Doha'),
('VOX Cinemas Villaggio', 200, 'Standard', 'Qatar, Al Rayyan'),
('VOX Cineco Seef', 150, 'IMAX', 'Bahrain, Manama'),
('Cineco Cinemas Seef', 220, 'Standard', 'Bahrain, Muharraq'),
('Cinescape Avenues', 300, '3D', 'Kuwait, Kuwait City'),
('Grand Cinemas Al Hamra', 250, 'Standard', 'Kuwait, Hawally'),
('City Cinema City Centre', 180, 'IMAX', 'Oman, Muscat'),
('VOX Cinemas Oman Avenues Mall', 200, 'Standard', 'Oman, Salalah'),
('Prime Cinemas Prime Complex', 150, '3D', 'Jordan, Amman'),
('Plaza Cinema Plaza Mall', 220, 'Standard', 'Jordan, Zarqa'),
('VOX Cinemas City Centre', 300, 'IMAX', 'Lebanon, Beirut'),
('Cinemall City Complex', 250, 'Standard', 'Lebanon, Tripoli'),
('Regal Union Square', 280, 'IMAX', 'USA, New York'),
('Pacific Theatres at The Grove', 230, 'Standard', 'USA, Los Angeles'),
('UGC Ciné Cité Les Halles', 190, '3D', 'France, Paris'),
('Pathé Belle Épine', 160, 'Standard', 'France, Paris'),
('Everyman Cinema Hampstead', 200, 'IMAX', 'UK, London'),
('HOME Manchester', 240, 'Standard', 'UK, Manchester'),
('CineStar Original', 310, '3D', 'Germany, Berlin'),
('Filmpalast am ZKM', 260, 'Standard', 'Germany, Karlsruhe'),
('Hoyts Broadway', 200, 'IMAX', 'Australia, Sydney'),
('Palace Westgarth', 230, 'Standard', 'Australia, Melbourne'),
('Scotiabank Theatre Toronto', 170, '3D', 'Canada, Toronto'),
('Cineplex Odeon International Village', 240, 'Standard', 'Canada, Vancouver'),
('Cinépolis JK Iguatemi', 320, 'IMAX', 'Brazil, Sao Paulo'),
('Kinoplex Vila Olímpia', 270, 'Standard', 'Brazil, Sao Paulo'),
('PVR ICON Versova', 190, '3D', 'India, Mumbai'),
('DT Cinemas - DLF Promenade', 220, 'Standard', 'India, Delhi'),
('Wanda Cinema CBD', 160, 'IMAX', 'China, Beijing'),
('Bona International Cineplex', 200, 'Standard', 'China, Beijing'),
('Toho Cinemas Shinjuku', 290, '3D', 'Japan, Tokyo'),
('Umeda Burg 7', 240, 'Standard', 'Japan, Osaka'),
('CGV Yongsan', 200, 'IMAX', 'South Korea, Seoul'),
('Lotte Cinema Centum City', 230, 'Standard', 'South Korea, Busan'),
('Cinemex Antara', 170, '3D', 'Mexico, Mexico City'),
('Cinepolis Plaza Satélite', 240, 'Standard', 'Mexico, Mexico City'),
('Cinecittà Multisala', 320, 'IMAX', 'Italy, Rome'),
('Anteo Palazzo Cinema', 270, 'Standard', 'Italy, Milan'),
('Yelmo Cines Ideal', 190, '3D', 'Spain, Madrid'),
('Cinemes Girona', 220, 'Standard', 'Spain, Barcelona'),
('Formula Kino Gorizont', 160, 'IMAX', 'Russia, Moscow'),
('Formula Kino City', 200, 'Standard', 'Russia, St. Petersburg'),
('Village Cines Recoleta', 300, '3D', 'Argentina, Buenos Aires'),
('Hoyts Patio Bullrich', 250, 'Standard', 'Argentina, Buenos Aires'),
('Ster-Kinekor Sandton City', 180, 'IMAX', 'South Africa, Johannesburg'),
('Nu Metro V&A Waterfront', 200, 'Standard', 'South Africa, Cape Town'),
('Prestige Cinema Prestige Plaza', 150, '3D', 'Kenya, Nairobi'),
('Fox Cineplex Sarit', 220, 'Standard', 'Kenya, Nairobi'),
('Vox Cinemas Mall of the Emirates', 300, 'IMAX', 'UAE, Dubai'),
('Novo Cinemas Ibn Battuta Mall', 250, 'Standard', 'UAE, Dubai'),
('Cineco City Centre', 180, '3D', 'Qatar, Doha'),
('VOX Cinemas Villaggio', 200, 'Standard', 'Qatar, Doha'),
('VOX Cineco Seef', 150, 'IMAX', 'Bahrain, Manama'),
('Cineco Cinemas Seef', 220, 'Standard', 'Bahrain, Manama'),
('Cinescape Avenues', 300, '3D', 'Kuwait, Kuwait City'),
('Grand Cinemas Al Hamra', 250, 'Standard', 'Kuwait, Kuwait City'),
('City Cinema City Centre', 180, 'IMAX', 'Oman, Muscat'),
('VOX Cinemas Oman Avenues Mall', 200, 'Standard', 'Oman, Muscat'),
('Prime Cinemas Prime Complex', 150, '3D', 'Jordan, Amman'),
('Plaza Cinema Plaza Mall', 220, 'Standard', 'Jordan, Amman'),
('VOX Cinemas City Centre', 300, 'IMAX', 'Lebanon, Beirut'),
('Cinemall City Complex', 250, 'Standard', 'Lebanon, Beirut'),
('AMC Lincoln Square 13', 280, 'IMAX', 'USA, New York'),
('El Capitan Theatre', 230, 'Standard', 'USA, Los Angeles'),
('Le Grand Rex', 190, '3D', 'France, Paris'),
('Gaumont Montparnasse', 160, 'Standard', 'France, Paris'),
('Electric Cinema Portobello', 200, 'IMAX', 'UK, London'),
('Odeon Trafford Centre', 240, 'Standard', 'UK, Manchester'),
('Cinemaxx Potsdamer Platz', 310, '3D', 'Germany, Berlin'),
('CineStar Metropolis', 260, 'Standard', 'Germany, Frankfurt'),
('Hoyts Entertainment Quarter', 200, 'IMAX', 'Australia, Sydney'),
('Hoyts Melbourne Central', 230, 'Standard', 'Australia, Melbourne'),
('Cineplex Cinemas Yonge-Dundas', 170, '3D', 'Canada, Toronto'),
('Scotiabank Theatre Vancouver', 240, 'Standard', 'Canada, Vancouver'),
('Cinépolis JK Iguatemi', 320, 'IMAX', 'Brazil, Sao Paulo'),
('Kinoplex Itaim', 270, 'Standard', 'Brazil, Sao Paulo'),
('PVR ICON Versova', 190, '3D', 'India, Mumbai'),
('PVR Plaza', 220, 'Standard', 'India, Delhi'),
('Wanda Cinema CBD', 160, 'IMAX', 'China, Beijing'),
('Bona Cinema', 200, 'Standard', 'China, Beijing'),
('Toho Cinemas Roppongi Hills', 290, '3D', 'Japan, Tokyo'),
('Umeda Burg 7', 240, 'Standard', 'Japan, Osaka'),
('CGV Yongsan', 200, 'IMAX', 'South Korea, Seoul'),
('Lotte Cinema Centum City', 230, 'Standard', 'South Korea, Busan'),
('Cinemex Antara', 170, '3D', 'Mexico, Mexico City'),
('Cinepolis Diana', 240, 'Standard', 'Mexico, Guadalajara'),
('Cinecittà Multisala', 320, 'IMAX', 'Italy, Rome'),
('Anteo Palazzo Cinema', 270, 'Standard', 'Italy, Milan'),
('Yelmo Cines Ideal', 190, '3D', 'Spain, Madrid'),
('Cinemes Girona', 220, 'Standard', 'Spain, Barcelona'),
('Formula Kino Gorizont', 160, 'IMAX', 'Russia, Moscow'),
('Formula Kino City', 200, 'Standard', 'Russia, St. Petersburg'),
('Village Cines Recoleta', 300, '3D', 'Argentina, Buenos Aires'),
('Hoyts Dot', 250, 'Standard', 'Argentina, Buenos Aires'),
('Ster-Kinekor Sandton City', 180, 'IMAX', 'South Africa, Johannesburg'),
('Nu Metro V&A Waterfront', 200, 'Standard', 'South Africa, Cape Town'),
('Prestige Cinema Prestige Plaza', 150, '3D', 'Kenya, Nairobi'),
('Sarit Centre IMAX', 220, 'Standard', 'Kenya, Nairobi'),
('VOX Cinemas Mall of the Emirates', 300, 'IMAX', 'UAE, Dubai'),
('Novo Cinemas Ibn Battuta Mall', 250, 'Standard', 'UAE, Dubai'),
('Cineco City Centre', 180, '3D', 'Qatar, Doha'),
('VOX Cinemas Villaggio', 200, 'Standard', 'Qatar, Doha'),
('VOX Cineco Seef', 150, 'IMAX', 'Bahrain, Manama'),
('Cineco Cinemas Seef', 220, 'Standard', 'Bahrain, Manama'),
('Cinescape Avenues', 300, '3D', 'Kuwait, Kuwait City'),
('Grand Cinemas Al Hamra', 250, 'Standard', 'Kuwait, Kuwait City'),
('City Cinema City Centre', 180, 'IMAX', 'Oman, Muscat'),
('VOX Cinemas Oman Avenues Mall', 200, 'Standard', 'Oman, Muscat'),
('Prime Cinemas Prime Complex', 150, '3D', 'Jordan, Amman'),
('Plaza Cinema Plaza Mall', 220, 'Standard', 'Jordan, Amman'),
('VOX Cinemas City Centre', 300, 'IMAX', 'Lebanon, Beirut'),
('Cinemall City Complex', 250, 'Standard', 'Lebanon, Beirut'),
('AMC Loews Lincoln Square 13', 280, 'IMAX', 'USA, New York'),
('Arclight Cinemas Hollywood', 230, 'Standard', 'USA, Los Angeles'),
('Le Grand Rex', 190, '3D', 'France, Paris'),
('MK2 Bibliothèque', 160, 'Standard', 'France, Paris'),
('Electric Cinema Shoreditch', 200, 'IMAX', 'UK, London'),
('Everyman Cinema Leeds', 240, 'Standard', 'UK, Leeds'),
('CineStar IMAX', 310, '3D', 'Germany, Berlin'),
('CineStar Original', 260, 'Standard', 'Germany, Munich'),
('Hoyts Broadway', 200, 'IMAX', 'Australia, Sydney'),
('Village Cinemas Southland', 230, 'Standard', 'Australia, Melbourne'),
('Cineplex Cinemas Yonge-Dundas', 170, '3D', 'Canada, Toronto'),
('Scotiabank Theatre Vancouver', 240, 'Standard', 'Canada, Vancouver'),
('Cinépolis JK Iguatemi', 320, 'IMAX', 'Brazil, Sao Paulo'),
('Kinoplex Vila Olímpia', 270, 'Standard', 'Brazil, Sao Paulo'),
('PVR ICON Versova', 190, '3D', 'India, Mumbai'),
('PVR Plaza', 220, 'Standard', 'India, Delhi'),
('Wanda Cinema CBD', 160, 'IMAX', 'China, Beijing'),
('Bona Cinema Chaoyang Joy City', 200, 'Standard', 'China, Beijing'),
('Toho Cinemas Roppongi Hills', 290, '3D', 'Japan, Tokyo'),
('Umeda Burg 7', 240, 'Standard', 'Japan, Osaka'),
('CGV Yongsan', 200, 'IMAX', 'South Korea, Seoul'),
('Lotte Cinema Centum City', 230, 'Standard', 'South Korea, Busan'),
('Cinemex Antara', 170, '3D', 'Mexico, Mexico City'),
('Cinepolis Galerias Vallarta', 240, 'Standard', 'Mexico, Guadalajara'),
('Cinecittà Multisala', 320, 'IMAX', 'Italy, Rome'),
('Anteo Palazzo Cinema', 270, 'Standard', 'Italy, Milan'),
('Yelmo Cines Ideal', 190, '3D', 'Spain, Madrid'),
('Cinemes Girona', 220, 'Standard', 'Spain, Barcelona'),
('Formula Kino Gorizont', 160, 'IMAX', 'Russia, Moscow'),
('Formula Kino City', 200, 'Standard', 'Russia, St. Petersburg'),
('Village Cines Recoleta', 300, '3D', 'Argentina, Buenos Aires'),
('Hoyts Dot', 250, 'Standard', 'Argentina, Buenos Aires'),
('Ster-Kinekor Sandton City', 180, 'IMAX', 'South Africa, Johannesburg'),
('Nu Metro V&A Waterfront', 200, 'Standard', 'South Africa, Cape Town'),
('Prestige Cinema Prestige Plaza', 150, '3D', 'Kenya, Nairobi'),
('Fox Cineplex Sarit', 220, 'Standard', 'Kenya, Nairobi'),
('VOX Cinemas Mall of the Emirates', 300, 'IMAX', 'UAE, Dubai'),
('Novo Cinemas Ibn Battuta Mall', 250, 'Standard', 'UAE, Dubai'),
('Cineco City Centre', 180, '3D', 'Qatar, Doha'),
('VOX Cinemas Villaggio', 200, 'Standard', 'Qatar, Doha'),
('VOX Cineco Seef', 150, 'IMAX', 'Bahrain, Manama'),
('Cineco Cinemas Seef', 220, 'Standard', 'Bahrain, Manama'),
('Cinescape Avenues', 300, '3D', 'Kuwait, Kuwait City'),
('Grand Cinemas Al Hamra', 250, 'Standard', 'Kuwait, Kuwait City'),
('City Cinema City Centre', 180, 'IMAX', 'Oman, Muscat'),
('VOX Cinemas Oman Avenues Mall', 200, 'Standard', 'Oman, Muscat'),
('Prime Cinemas Prime Complex', 150, '3D', 'Jordan, Amman'),
('Plaza Cinema Plaza Mall', 220, 'Standard', 'Jordan, Amman'),
('VOX Cinemas City Centre', 300, 'IMAX', 'Lebanon, Beirut'),
('Cinemall City Complex', 250, 'Standard', 'Lebanon, Beirut'),
('Regal Union Square Stadium 14', 280, 'IMAX', 'USA, New York'),
('Laemmle Royal', 230, 'Standard', 'USA, Los Angeles'),
('Le Grand Rex', 190, '3D', 'France, Paris'),
('Pathé La Villette', 160, 'Standard', 'France, Paris'),
('Electric Cinema Portobello', 200, 'IMAX', 'UK, London'),
('Everyman Cinema Bristol', 240, 'Standard', 'UK, Bristol'),
('Cinemaxx Hamburg Dammtor', 310, '3D', 'Germany, Hamburg'),
('CineStar Original', 260, 'Standard', 'Germany, Cologne'),
('Hoyts Broadway', 200, 'IMAX', 'Australia, Sydney'),
('Hoyts Highpoint', 230, 'Standard', 'Australia, Melbourne'),
('Cineplex Cinemas Yonge-Dundas', 170, '3D', 'Canada, Toronto'),
('Scotiabank Theatre Chinook', 240, 'Standard', 'Canada, Calgary'),
('Cinépolis JK Iguatemi', 320, 'IMAX', 'Brazil, Sao Paulo'),
('Kinoplex Itaim', 270, 'Standard', 'Brazil, Sao Paulo'),
('PVR ICON Versova', 190, '3D', 'India, Mumbai'),
('PVR Ambience Mall', 220, 'Standard', 'India, Gurgaon'),
('Wanda Cinema CBD', 160, 'IMAX', 'China, Beijing'),
('Bona Cinema Chaoyang U-Town', 200, 'Standard', 'China, Beijing'),
('Toho Cinemas Roppongi Hills', 290, '3D', 'Japan, Tokyo'),
('Umeda Burg 7', 240, 'Standard', 'Japan, Osaka'),
('CGV Yongsan', 200, 'IMAX', 'South Korea, Seoul'),
('Lotte Cinema Centum City', 230, 'Standard', 'South Korea, Busan'),
('Cinemex Antara', 170, '3D', 'Mexico, Mexico City'),
('Cinepolis Plaza Satélite', 240, 'Standard', 'Mexico, Mexico City'),
('Cinecittà Multisala', 320, 'IMAX', 'Italy, Rome'),
('Anteo Palazzo Cinema', 270, 'Standard', 'Italy, Milan'),
('Yelmo Cines Ideal', 190, '3D', 'Spain, Madrid'),
('Cinemes Girona', 220, 'Standard', 'Spain, Barcelona'),
('Formula Kino Gorizont', 160, 'IMAX', 'Russia, Moscow'),
('Formula Kino City', 200, 'Standard', 'Russia, St. Petersburg'),
('Village Cines Recoleta', 300, '3D', 'Argentina, Buenos Aires'),
('Hoyts Dot', 250, 'Standard', 'Argentina, Buenos Aires'),
('Ster-Kinekor Sandton City', 180, 'IMAX', 'South Africa, Johannesburg'),
('Nu Metro V&A Waterfront', 200, 'Standard', 'South Africa, Cape Town'),
('Prestige Cinema Prestige Plaza', 150, '3D', 'Kenya, Nairobi'),
('Fox Cineplex Sarit', 220, 'Standard', 'Kenya, Nairobi'),
('VOX Cinemas Mall of the Emirates', 300, 'IMAX', 'UAE, Dubai'),
('Novo Cinemas Ibn Battuta Mall', 250, 'Standard', 'UAE, Dubai'),
('Cineco City Centre', 180, '3D', 'Qatar, Doha'),
('VOX Cinemas Villaggio', 200, 'Standard', 'Qatar, Doha'),
('VOX Cineco Seef', 150, 'IMAX', 'Bahrain, Manama'),
('Cineco Cinemas Seef', 220, 'Standard', 'Bahrain, Manama'),
('Cinescape Avenues', 300, '3D', 'Kuwait, Kuwait City'),
('Grand Cinemas Al Hamra', 250, 'Standard', 'Kuwait, Kuwait City'),
('City Cinema City Centre', 180, 'IMAX', 'Oman, Muscat'),
('VOX Cinemas Oman Avenues Mall', 200, 'Standard', 'Oman, Muscat'),
('Prime Cinemas Prime Complex', 150, '3D', 'Jordan, Amman'),
('Plaza Cinema Plaza Mall', 220, 'Standard', 'Jordan, Amman'),
('VOX Cinemas City Centre', 300, 'IMAX', 'Lebanon, Beirut'),
('Cinemall City Complex', 250, 'Standard', 'Lebanon, Beirut'),
('Regal Battery Park', 280, 'IMAX', 'USA, New York'),
('Pacific Theatres at The Grove', 230, 'Standard', 'USA, Los Angeles'),
('Majestic Passy', 190, '3D', 'France, Paris'),
('Pathé Beaugrenelle', 160, 'Standard', 'France, Paris'),
('Electric Cinema Portobello', 200, 'IMAX', 'UK, London'),
('Everyman Cinema Leeds', 240, 'Standard', 'UK, Leeds'),
('Cinemaxx Potsdamer Platz', 310, '3D', 'Germany, Berlin'),
('CineStar Metropolis', 260, 'Standard', 'Germany, Frankfurt'),
('Hoyts Broadway', 200, 'IMAX', 'Australia, Sydney'),
('Village Cinemas Southland', 230, 'Standard', 'Australia, Melbourne'),
('Cineplex Cinemas Yonge-Dundas', 170, '3D', 'Canada, Toronto'),
('Scotiabank Theatre Vancouver', 240, 'Standard', 'Canada, Vancouver'),
('Cinépolis JK Iguatemi', 320, 'IMAX', 'Brazil, Sao Paulo'),
('Kinoplex Itaim', 270, 'Standard', 'Brazil, Sao Paulo'),
('PVR ICON Versova', 190, '3D', 'India, Mumbai'),
('PVR Ambience Mall', 220, 'Standard', 'India, Gurgaon'),
('Wanda Cinema CBD', 160, 'IMAX', 'China, Beijing'),
('Bona Cinema Chaoyang Joy City', 200, 'Standard', 'China, Beijing'),
('Toho Cinemas Roppongi Hills', 290, '3D', 'Japan, Tokyo'),
('Umeda Burg 7', 240, 'Standard', 'Japan, Osaka'),
('CGV Yongsan', 200, 'IMAX', 'South Korea, Seoul'),
('Lotte Cinema Centum City', 230, 'Standard', 'South Korea, Busan'),
('Cinemex Antara', 170, '3D', 'Mexico, Mexico City'),
('Cinepolis Galerias Vallarta', 240, 'Standard', 'Mexico, Guadalajara'),
('Cinecittà Multisala', 320, 'IMAX', 'Italy, Rome'),
('Anteo Palazzo Cinema', 270, 'Standard', 'Italy, Milan'),
('Yelmo Cines Ideal', 190, '3D', 'Spain, Madrid'),
('Cinemes Girona', 220, 'Standard', 'Spain, Barcelona'),
('Formula Kino Gorizont', 160, 'IMAX', 'Russia, Moscow'),
('Formula Kino City', 200, 'Standard', 'Russia, St. Petersburg'),
('Village Cines Recoleta', 300, '3D', 'Argentina, Buenos Aires'),
('Hoyts Dot', 250, 'Standard', 'Argentina, Buenos Aires'),
('Ster-Kinekor Sandton City', 180, 'IMAX', 'South Africa, Johannesburg'),
('Nu Metro V&A Waterfront', 200, 'Standard', 'South Africa, Cape Town'),
('Prestige Cinema Prestige Plaza', 150, '3D', 'Kenya, Nairobi'),
('Fox Cineplex Sarit', 220, 'Standard', 'Kenya, Nairobi'),
('VOX Cinemas Mall of the Emirates', 300, 'IMAX', 'UAE, Dubai'),
('Novo Cinemas Ibn Battuta Mall', 250, 'Standard', 'UAE, Dubai'),
('Cineco City Centre', 180, '3D', 'Qatar, Doha'),
('VOX Cinemas Villaggio', 200, 'Standard', 'Qatar, Doha'),
('VOX Cineco Seef', 150, 'IMAX', 'Bahrain, Manama'),
('Cineco Cinemas Seef', 220, 'Standard', 'Bahrain, Manama'),
('Cinescape Avenues', 300, '3D', 'Kuwait, Kuwait City'),
('Grand Cinemas Al Hamra', 250, 'Standard', 'Kuwait, Kuwait City'),
('City Cinema City Centre', 180, 'IMAX', 'Oman, Muscat'),
('VOX Cinemas Oman Avenues Mall', 200, 'Standard', 'Oman, Muscat'),
('Prime Cinemas Prime Complex', 150, '3D', 'Jordan, Amman'),
('Plaza Cinema Plaza Mall', 220, 'Standard', 'Jordan, Amman'),
('VOX Cinemas City Centre', 300, 'IMAX', 'Lebanon, Beirut'),
('Cinemall City Complex', 250, 'Standard', 'Lebanon, Beirut'),
('AMC Empire 25', 280, 'IMAX', 'USA, New York'),
('Cineplex Odeon International Village', 240, 'Standard', 'Canada, Vancouver'),
('Cinemark Tinseltown and XD', 320, 'IMAX', 'USA, Houston'),
('Cinépolis Lagoon', 270, 'Standard', 'Brazil, Rio de Janeiro'),
('INOX Leisure', 190, '3D', 'India, Mumbai'),
('Toho Cinemas', 290, '3D', 'Japan, Tokyo'),
('CGV Cinemas', 200, 'IMAX', 'South Korea, Seoul'),
('Cinemex', 170, '3D', 'Mexico, Mexico City'),
('Cinecittà', 320, 'IMAX', 'Italy, Rome'),
('Octagon Cinema', 160, 'IMAX', 'Russia, Moscow'),
('Ster-Kinekor', 180, 'IMAX', 'South Africa, Johannesburg'),
('Vox Cinemas', 150, 'IMAX', 'UAE, Dubai'),
('Cinescape', 300, '3D', 'Kuwait, Kuwait City'),
('City Cinema', 180, 'IMAX', 'Oman, Muscat'),
('Prime Cinemas', 150, '3D', 'Jordan, Amman'),
('Empire Cinemas', 280, 'IMAX', 'UK, London'),
('Gaumont Opéra', 190, '3D', 'France, Paris'),
('Odeon Luxe Leicester Square', 180, 'IMAX', 'UK, London'),
('CineStar Sony Center', 260, 'Standard', 'Germany, Berlin'),
('Village Cinemas Crown', 230, 'Standard', 'Australia, Melbourne'),
('Cineplex Odeon', 170, '3D', 'Canada, Toronto'),
('Cinépolis JK Iguatemi', 320, 'IMAX', 'Brazil, Sao Paulo'),
('PVR Cinemas', 190, '3D', 'India, Mumbai'),
('Wanda Cinema', 160, 'IMAX', 'China, Beijing'),
('Shanghai Film Art Center', 200, 'Standard', 'China, Shanghai'),
('Toho Cinemas', 290, '3D', 'Japan, Tokyo'),
('CGV Yongsan', 200, 'IMAX', 'South Korea, Seoul'),
('Cinemex Antara', 170, '3D', 'Mexico, Mexico City'),
('Cinepolis', 240, 'Standard', 'Mexico, Guadalajara'),
('Cinecittà Multisala', 320, 'IMAX', 'Italy, Rome'),
('Anteo Palazzo Cinema', 270, 'Standard', 'Italy, Milan'),
('Yelmo Cines Ideal', 190, '3D', 'Spain, Madrid'),
('Cinemes Girona', 220, 'Standard', 'Spain, Barcelona'),
('Formula Kino Gorizont', 160, 'IMAX', 'Russia, Moscow'),
('Formula Kino City', 200, 'Standard', 'Russia, St. Petersburg'),
('Village Cines Recoleta', 300, '3D', 'Argentina, Buenos Aires'),
('Hoyts Dot', 250, 'Standard', 'Argentina, Buenos Aires'),
('Ster-Kinekor Sandton City', 180, 'IMAX', 'South Africa, Johannesburg'),
('Nu Metro V&A Waterfront', 200, 'Standard', 'South Africa, Cape Town'),
('Prestige Cinema Prestige Plaza', 150, '3D', 'Kenya, Nairobi'),
('Fox Cineplex Sarit', 220, 'Standard', 'Kenya, Nairobi'),
('VOX Cinemas Mall of the Emirates', 300, 'IMAX', 'UAE, Dubai'),
