('Christopher', 'Nolan', 'British'),
('Apichatpong', 'Weerasethakul', 'Thai'),
('Dziga', 'Vertov', 'Russian'),
('Ermanno', 'Olmi', 'Italian'),
('Robert', 'Bresson', 'French'),
('Jacques', 'Rivette', 'French'),
('Claude', 'Lanzmann', 'French'),
('Ken', 'Russell', 'British'),
('Nicholas', 'Ray', 'American'),
('Eric', 'Rohmer', 'French'),
('Mike', 'Leigh', 'British'),
('Fred', 'Zinnemann', 'Austrian'),
('Alan', 'Clarke', 'British'),
('Jafar', 'Panahi', 'Iranian'),
('Ken', 'Loach', 'British'),
('Cristian', 'Mungiu', 'Romanian'),
('Nanni', 'Moretti', 'Italian'),
('Carlos', 'Reygadas', 'Mexican'),
('Belá', 'Tarr', 'Hungarian'),
('Pedro', 'Costa', 'Portuguese'),
('Bela', 'Lugosi', 'Hungarian'),
('Hou', 'Hsiao-hsien', 'Taiwanese'),
('Tsai', 'Ming-liang', 'Taiwanese'),
('Jia', 'Zhangke', 'Chinese'),
('Abderrahmane', 'Sissako', 'Mauritanian'),
('Kelly', 'Reichardt', 'American'),
('Steven', 'Soderbergh', 'American'),
('Michael', 'Haneke', 'Austrian'),
('Jim', 'Jarmusch', 'American'),
('Terrence', 'Malick', 'American'),
('Abbas', 'Kiarostami', 'Iranian'),
('Atom', 'Egoyan', 'Canadian'),
('Jacques', 'Tati', 'French'),
('Hsiao-Hsien', 'Hou', 'Taiwanese'),
('Zeki', 'Demirkubuz', 'Turkish'),
('Zhangke', 'Jia', 'Chinese'),
('Lav', 'Diaz', 'Filipino'),
('Hsiao-Hsien', 'Hou', 'Taiwanese'),
('Abbas', 'Kiarostami', 'Iranian'),
('Atom', 'Egoyan', 'Canadian'),
('Jacques', 'Tati', 'French'),
('Zeki', 'Demirkubuz', 'Turkish'),
('Zhangke', 'Jia', 'Chinese'),
('Lav', 'Diaz', 'Filipino'),
('Takeshi', 'Kitano', 'Japanese'),
('Cristian', 'Mungiu', 'Romanian'),
('Nanni', 'Moretti', 'Italian'),
('Carlos', 'Reygadas', 'Mexican'),
('Takeshi', 'Kitano', 'Japanese'),
('Takashi', 'Miike', 'Japanese'),
('Wes', 'Anderson', 'American'),
('Ridley', 'Scott', 'British'),
('Luc', 'Besson', 'French'),
('David', 'O. Russell', 'American'),
('Robert', 'Zemeckis', 'American'),
('Gus', 'Van Sant', 'American'),
('Steven', 'Soderbergh', 'American'),
('Ron', 'Howard', 'American'),
('Tim', 'Burton', 'American'),
('James', 'Cameron', 'Canadian'),
('Frank', 'Darabont', 'American'),
('Oliver', 'Stone', 'American'),
('Michael', 'Mann', 'American'),
('Joel', 'Schumacher', 'American'),
('Sam', 'Raimi', 'American'),
('Paul', 'Verhoeven', 'Dutch'),
('Brian', 'De Palma', 'American'),
('John', 'Hughes', 'American'),
('Woody', 'Allen', 'American'),
('Quentin', 'Tarantino', 'American'),
('Christopher', 'Nolan', 'British'),
('Martin', 'Scorsese', 'American'),
('David', 'Fincher', 'American'),
('Steven', 'Spielberg', 'American'),
('Alfred', 'Hitchcock', 'British'),
('Stanley', 'Kubrick', 'American'),
('Akira', 'Kurosawa', 'Japanese'),
('Federico', 'Fellini', 'Italian'),
('Ingmar', 'Bergman', 'Swedish'),
('Charlie', 'Chaplin', 'British'),
('Andrei', 'Tarkovsky', 'Russian'),
('Francis', 'Ford Coppola', 'American'),
('Orson', 'Welles', 'American'),
('Woody', 'Allen', 'American'),
('Clint', 'Eastwood', 'American'),
('David', 'Lynch', 'American'),
('Hayao', 'Miyazaki', 'Japanese'),
('Billy', 'Wilder', 'Austrian'),
('Spike', 'Lee', 'American'),
('Tim', 'Burton', 'American'),
('Wong', 'Kar-wai', 'Hong Kong'),
('David', 'Cronenberg', 'Canadian'),
('John', 'Ford', 'American'),
('Ethan', 'Coen', 'American'),
('Joel', 'Coen', 'American'),
('Paul', 'Thomas Anderson', 'American'),
('Darren', 'Aronofsky', 'American'),
('Jim', 'Jarmusch', 'American'),
('John', 'Cassavetes', 'American'),
('Terrence', 'Malick', 'American'),
('Sofia', 'Coppola', 'American'),
('Quentin', 'Tarantino', 'American'),
('Christopher', 'Nolan', 'British'),
('Martin', 'Scorsese', 'American'),
('Steven', 'Spielberg', 'American'),
('Alfred', 'Hitchcock', 'British'),
('Akira', 'Kurosawa', 'Japanese'),
('Federico', 'Fellini', 'Italian'),
('Ingmar', 'Bergman', 'Swedish'),
('Charlie', 'Chaplin', 'British'),
('Andrei', 'Tarkovsky', 'Russian'),
('Francis', 'Ford Coppola', 'American'),
('Orson', 'Welles', 'American'),
('Woody', 'Allen', 'American'),
('Clint', 'Eastwood', 'American'),
('David', 'Lynch', 'American'),
('Hayao', 'Miyazaki', 'Japanese'),
('Billy', 'Wilder', 'Austrian'),
('Spike', 'Lee', 'American'),
('Tim', 'Burton', 'American'),
('Wong', 'Kar-wai', 'Hong Kong'),
('David', 'Cronenberg', 'Canadian'),
('John', 'Ford', 'American'),
('Ethan', 'Coen', 'American'),
('Joel', 'Coen', 'American'),
('Paul', 'Thomas Anderson', 'American'),
('Darren', 'Aronofsky', 'American'),
('Jim', 'Jarmusch', 'American'),
('John', 'Cassavetes', 'American'),
('Terrence', 'Malick', 'American'),
('Sofia', 'Coppola', 'American'),
('John', 'Woo', 'Hong Kong'),
('John', 'Carpenter', 'American'),
('Jane', 'Campion', 'New Zealander'),
('Erich', 'von Stroheim', 'Austrian'),
('Todd', 'Phillips', 'American'),
('Catherine', 'Breillat', 'French'),
('Jane', 'Campion', 'New Zealander'),
('Hou', 'Hsiao-hsien', 'Taiwanese'),
('George', 'Miller', 'Australian'),
('Frank', 'Darabont', 'American'),
('Werner', 'Herzog', 'German'),
('David', 'Lynch', 'American'),
('Lars', 'von Trier', 'Danish'),
('Kim', 'Ki-duk', 'South Korean'),
('Apichatpong', 'Weerasethakul', 'Thai'),
('Dziga', 'Vertov', 'Russian'),
('Jin-ho', 'Hur', 'South Korean'),
('Jae-young', 'Kwak', 'South Korean'),
('Min-sik', 'Choi', 'South Korean'),
('Soo-sung', 'Lee', 'South Korean'),
('Seung-wan', 'Ryoo', 'South Korean'),
('Wook', 'Park', 'South Korean'),
('Soo-youn', 'Lee', 'South Korean'),
('Sung-su', 'Kim', 'South Korean'),
('Hae-sung', 'Song', 'South Korean'),
('Ki-duk', 'Kim', 'South Korean'),
('Byung-gil', 'Jung', 'South Korean'),
('Dae-woo', 'Kim', 'South Korean'),
('Joon-hwan', 'Jang', 'South Korean'),
('Kyoung-Taek', 'Kwon', 'South Korean'),
('Sung-Bo', 'Shim', 'South Korean'),
('Il-gon', 'Song', 'South Korean'),
('Tae-kyung', 'Kim', 'South Korean'),
('Dae-woong', 'Lim', 'South Korean'),
('Soo-sung', 'Lee', 'South Korean'),
('Hoon-jung', 'Park', 'South Korean'),
('Jae-young', 'Kwak', 'South Korean'),
('Wook', 'Park', 'South Korean'),
('Hun', 'Jang', 'South Korean'),
('Min-sik', 'Choi', 'South Korean'),
('Sang-ho', 'Yeon', 'South Korean'),
('Hae-sung', 'Song', 'South Korean'),
('Min-suk', 'Kim', 'South Korean'),
('Soo-youn', 'Lee', 'South Korean'),
('Jong-bin', 'Yoon', 'South Korean'),
('Jae-Hyun', 'Jang', 'South Korean'),
('Kyu-tae', 'Kim', 'South Korean'),
('Jong-Yeol', 'Baek', 'South Korean'),
('Yong-Kyun', 'Bae', 'South Korean'),
('Hae-sung', 'Song', 'South Korean'),
('Chul-soo', 'Jang', 'South Korean'),
('Byoung-gon', 'Moon', 'South Korean'),
('Jin-ho', 'Hur', 'South Korean'),
('Chan-wook', 'Park', 'South Korean'),
('Hae-sung', 'Song', 'South Korean'),
('Byung-gil', 'Jung', 'South Korean'),
('Dae-woo', 'Kim', 'South Korean'),
('Joon-hwan', 'Jang', 'South Korean'),
('Kyoung-Taek', 'Kwon', 'South Korean'),
('Jae-young', 'Kwak', 'South Korean'),
('Hun', 'Jang', 'South Korean'),
('Min-sik', 'Choi', 'South Korean'),
('Soo-sung', 'Lee', 'South Korean'),
('Seung-wan', 'Ryoo', 'South Korean'),
('Wook', 'Park', 'South Korean'),
('Soo-youn', 'Lee', 'South Korean'),
('Sung-su', 'Kim', 'South Korean'),
('Hae-sung', 'Song', 'South Korean'),
('Ki-duk', 'Kim', 'South Korean'),
('Byung-gil', 'Jung', 'South Korean'),
('Dae-woo', 'Kim', 'South Korean'),
('Joon-hwan', 'Jang', 'South Korean'),
('Kyoung-Taek', 'Kwon', 'South Korean'),
('Sung-Bo', 'Shim', 'South Korean'),
('Il-gon', 'Song', 'South Korean'),
('Tae-kyung', 'Kim', 'South Korean'),
('Dae-woong', 'Lim', 'South Korean'),
('Soo-sung', 'Lee', 'South Korean'),
('Hoon-jung', 'Park', 'South Korean'),
('Jae-young', 'Kwak', 'South Korean'),
('Wook', 'Park', 'South Korean'),
('Hun', 'Jang', 'South Korean'),
('Min-sik', 'Choi', 'South Korean'),
('Sang-ho', 'Yeon', 'South Korean'),
('Hae-sung', 'Song', 'South Korean'),
('Min-suk', 'Kim', 'South Korean'),
('Soo-youn', 'Lee', 'South Korean'),
('Jong-bin', 'Yoon', 'South Korean'),
('Jae-Hyun', 'Jang', 'South Korean'),
('Kyu-tae', 'Kim', 'South Korean'),
('Jong-Yeol', 'Baek', 'South Korean'),
('Yong-Kyun', 'Bae', 'South Korean'),
('Hae-sung', 'Song', 'South Korean'),
('Chul-soo', 'Jang', 'South Korean'),
('Byoung-gon', 'Moon', 'South Korean'),
('Jin-ho', 'Hur', 'South Korean'),
('Chan-wook', 'Park', 'South Korean'),
('Hae-sung', 'Song', 'South Korean'),
('Byung-gil', 'Jung', 'South Korean'),
('Dae-woo', 'Kim', 'South Korean'),
('Joon-hwan', 'Jang', 'South Korean'),
('Kyoung-Taek', 'Kwon', 'South Korean'),
('Jae-young', 'Kwak', 'South Korean'),
('Hun', 'Jang', 'South Korean'),
('Min-sik', 'Choi', 'South Korean'),
('Soo-sung', 'Lee', 'South Korean'),
('Seung-wan', 'Ryoo', 'South Korean'),
('Wook', 'Park', 'South Korean'),
('Soo-youn', 'Lee', 'South Korean'),
('Sung-su', 'Kim', 'South Korean'),
('Hae-sung', 'Song', 'South Korean'),
('Ki-duk', 'Kim', 'South Korean'),
('Byung-gil', 'Jung', 'South Korean'),
('Dae-woo', 'Kim', 'South Korean'),
('Joon-hwan', 'Jang', 'South Korean'),
('Kyoung-Taek', 'Kwon', 'South Korean'),
('Sung-Bo', 'Shim', 'South Korean'),
('Il-gon', 'Song', 'South Korean'),
('Tae-kyung', 'Kim', 'South Korean'),
('Dae-woong', 'Lim', 'South Korean'),
('Soo-sung', 'Lee', 'South Korean'),
('Hoon-jung', 'Park', 'South Korean'),
('Jae-young', 'Kwak', 'South Korean'),
('Wook', 'Park', 'South Korean'),
('Hun', 'Jang', 'South Korean'),
('Min-sik', 'Choi', 'South Korean'),
('Sang-ho', 'Yeon', 'South Korean'),
('Hae-sung', 'Song', 'South Korean'),
('Min-suk', 'Kim', 'South Korean'),
('Soo-youn', 'Lee', 'South Korean'),
('Jong-bin', 'Yoon', 'South Korean'),
('Jae-Hyun', 'Jang', 'South Korean'),
('Kyu-tae', 'Kim', 'South Korean'),
('Jong-Yeol', 'Baek', 'South Korean'),
('Yong-Kyun', 'Bae', 'South Korean'),
('Hae-sung', 'Song', 'South Korean'),
('Chul-soo', 'Jang', 'South Korean'),
('Byoung-gon', 'Moon', 'South Korean'),
('Jin-ho', 'Hur', 'South Korean'),
('Chan-wook', 'Park', 'South Korean'),
('Hae-sung', 'Song', 'South Korean'),
('Byung-gil', 'Jung', 'South Korean'),
('Dae-woo', 'Kim', 'South Korean'),
('Joon-hwan', 'Jang', 'South Korean'),
('Kyoung-Taek', 'Kwon', 'South Korean'),
('Jae-young', 'Kwak', 'South Korean'),
('Hun', 'Jang', 'South Korean'),
('Min-sik', 'Choi', 'South Korean'),
('Soo-sung', 'Lee', 'South Korean'),
('Seung-wan', 'Ryoo', 'South Korean'),
('Wook', 'Park', 'South Korean'),
('Soo-youn', 'Lee', 'South Korean'),
('Sung-su', 'Kim', 'South Korean'),
('Hae-sung', 'Song', 'South Korean'),
('Ki-duk', 'Kim', 'South Korean'),
('Byung-gil', 'Jung', 'South Korean'),
('Dae-woo', 'Kim', 'South Korean'),
('Joon-hwan', 'Jang', 'South Korean'),
('Kyoung-Taek', 'Kwon', 'South Korean'),
('Sung-Bo', 'Shim', 'South Korean'),
('Il-gon', 'Song', 'South Korean'),
('Tae-kyung', 'Kim', 'South Korean'),
('Dae-woong', 'Lim', 'South Korean'),
('Soo-sung', 'Lee', 'South Korean'),
('Hoon-jung', 'Park', 'South Korean'),
('Jae-young', 'Kwak', 'South Korean'),
('Wook', 'Park', 'South Korean'),
('Hun', 'Jang', 'South Korean'),
('Min-sik', 'Choi', 'South Korean'),
('Sang-ho', 'Yeon', 'South Korean'),
('Hae-sung', 'Song', 'South Korean'),
('Min-suk', 'Kim', 'South Korean'),
('Soo-youn', 'Lee', 'South Korean'),
('Jong-bin', 'Yoon', 'South Korean'),
('Jae-Hyun', 'Jang', 'South Korean'),
('Kyu-tae', 'Kim', 'South Korean'),
('Jong-Yeol', 'Baek', 'South Korean'),
('Yong-Kyun', 'Bae', 'South Korean'),
('Hae-sung', 'Song', 'South Korean'),
('Chul-soo', 'Jang', 'South Korean'),
('Byoung-gon', 'Moon', 'South Korean'),
('Wong', 'Kar-wai', 'Hong Kong'),
('Abbas', 'Kiarostami', 'Iranian'),
('Darren', 'Aronofsky', 'American'),
('Alfonso', 'Cuarón', 'Mexican'),
('Hayao', 'Miyazaki', 'Japanese'),
('Isao', 'Takahata', 'Japanese'),
('Sofia', 'Coppola', 'American'),
('George', 'Miller', 'Australian'),
('Werner', 'Herzog', 'German'),
('Danny', 'Boyle', 'British'),
('Judd', 'Apatow', 'American'),
('Catherine', 'Hardwicke', 'American'),
('Zhang', 'Yimou', 'Chinese'),
('Stephen', 'Chow', 'Hong Kong'),
('John', 'Woo', 'Hong Kong'),
('Hou', 'Hsiao-hsien', 'Taiwanese'),
('Gus', 'Van Sant', 'American'),
('David', 'Cronenberg', 'Canadian'),
('Terry', 'Gilliam', 'American'),
('Lars', 'von Trier', 'Danish'),
('Mike', 'Leigh', 'British'),
('Jean-Pierre', 'Jeunet', 'French'),
('Tom', 'Tykwer', 'German'),
('Jim', 'Jarmusch', 'American'),
('John', 'McTiernan', 'American'),
('Rob', 'Reiner', 'American'),
('Frank', 'Darabont', 'American'),
('Sam', 'Raimi', 'American'),
('Peter', 'Weir', 'Australian'),
('Joel', 'Schumacher', 'American'),
('Richard', 'Donner', 'American'),
('Paul', 'Verhoeven', 'Dutch'),
('Michael', 'Haneke', 'Austrian'),
('Fernando', 'Meirelles', 'Brazilian'),
('Hirokazu', 'Kore-eda', 'Japanese'),
('Duncan', 'Jones', 'British'),
('Michel', 'Gondry', 'French'),
('Giuseppe', 'Tornatore', 'Italian'),
('Ang', 'Lee', 'Taiwanese'),
('Denis', 'Villeneuve', 'Canadian'),
('Steve', 'McQueen', 'British'),
('James', 'Mangold', 'American'),
('Ridley', 'Scott', 'British'),
