('Aabis', 'Raza', 'Pakistani'),
('Andreas', 'Lennartsson', 'Swedish'),
('Andreas', 'Papa', 'Greek'),
('Andreas', 'Prochaska', 'Austrian'),
('Andreas', 'Thomopoulos', 'Greek'),
('Andrei', 'Tarkovsky', 'Russian'),
('Andrew', 'Adamson', 'New Zealander'),
('Andrew', 'Dominik', 'Australian'),
('Andrew', 'Haigh', 'British'),
('Andrew', 'Lau', 'Hong Kong'),
('Andrew', 'Niccol', 'New Zealander'),
('Andrey', 'Zvyagintsev', 'Russian'),
('Andrucha', 'Waddington', 'Brazilian'),
('Andrzej', 'Wajda', 'Polish'),
('Andrzej', 'Żuławski', 'Polish'),
('André', 'Øvredal', 'Norwegian'),
('Andrés', 'Baiz', 'Colombian'),
('Andrés', 'Goteira', 'Argentinian'),
('Andrés', 'Waissbluth', 'Argentinian'),
('Andrés', 'Wood', 'Chilean'),
('Anees', 'Bazmee', 'Indian'),
('Ang', 'Lee', 'Taiwanese'),
('Anil', 'Ganguly', 'Indian'),
('Anil', 'Sharma', 'Indian'),
('Ann', 'Hui', 'Hong Kong'),
('Anna', 'Muylaert', 'Brazilian'),
('Annette', 'K. Olesen', 'Danish'),
('Anocha', 'Suwichakornpong', 'Thai'),
('Antti', 'Jokinen', 'Finnish'),
('Anubhav', 'Sinha', 'Indian'),
('Anurag', 'Basu', 'Indian'),
('Anurag', 'Kashyap', 'Indian'),
('Anurag', 'Singh', 'Indian'),
('Apichatpong', 'Weerasethakul', 'Thai'),
('Apirak', 'Mitrpracha', 'Thai'),
('Ari', 'Aster', 'American'),
('Arild', 'Frisch', 'Norwegian'),
('Armando', 'Bo', 'Argentinian'),
('Armando', 'Iannucci', 'Scottish'),
('Arne', 'Lindtner Næss', 'Norwegian'),
('Arto', 'Halonen', 'Finnish'),
('Arturo', 'Ripstein', 'Mexican'),
('Asghar', 'Farhadi', 'Iranian'),
('Ash', 'Mayfair', 'Vietnamese'),
('Ashutosh', 'Gowariker', 'Indian'),
('Asim', 'Abbasi', 'Pakistani'),
('Asim', 'Raza', 'Pakistani'),
('Asta', 'Nielsen', 'Danish'),
('Astrid', 'Henning-Jensen', 'Danish'),
('Atef', 'Al-Tayeb', 'Egyptian'),
('Atef', 'Hetata', 'Egyptian'),
('Atom', 'Egoyan', 'Canadian'),
('Attila', 'Dung', 'Hungarian'),
('Atıf', 'Yılmaz', 'Turkish'),
('Ava', 'DuVernay', 'American'),
('Azfar', 'Jafri', 'Pakistani'),
('Babar', 'Javed', 'Pakistani'),
('Bahman', 'Ghobadi', 'Iranian'),
('Bahram', 'Beizai', 'Iranian'),
('Banjong', 'Pisanthanakun', 'Thai'),
('Baran', 'Bo Odar', 'Swiss'),
('Barbara', 'Albert', 'Austrian'),
('Barry', 'Jenkins', 'American'),
('Basu', 'Chatterjee', 'Indian'),
('Baz', 'Luhrmann', 'Australian'),
('Bela', 'Lugosi', 'Hungarian'),
('Belá', 'Tarr', 'Hungarian'),
('Benjamín', 'Ávila', 'Argentinian'),
('Benny', 'Safdie', 'American'),
('Bent', 'Hamer', 'Norwegian'),
('Bernardo', 'Bertolucci', 'Italian'),
('Beto', 'Brant', 'Brazilian'),
('Bilal', 'Lashari', 'Pakistani'),
('Bille', 'August', 'Danish'),
('Billy', 'Wilder', 'Austrian'),
('Bimal', 'Roy', 'Indian'),
('Bo', 'Widerberg', 'Swedish'),
('Bohdan', 'Sláma', 'Czech'),
('Bong', 'Joon-ho', 'South Korean'),
('Bouli', 'Lanners', 'Belgian'),
('Brett', 'Michael Innes', 'South African'),
('Brian', 'De Palma', 'American'),
('Bruce', 'Beresford', 'Australian'),
('Bui', 'Kim Quy', 'Vietnamese'),
('Bui', 'Thac Chuyen', 'Vietnamese'),
('Byoung-gon', 'Moon', 'South Korean'),
('Byung-gil', 'Jung', 'South Korean'),
('Béla', 'Tarr', 'Hungarian'),
('Cagan', 'Irmak', 'Turkish'),
('Carl', 'Theodor Dreyer', 'Danish'),
('Carlos', 'Diegues', 'Brazilian'),
('Carlos', 'Huibner', 'Colombian'),
('Carlos', 'Moreno', 'Colombian'),
('Carlos', 'Reygadas', 'Mexican'),
('Carlos', 'Saura', 'Spanish'),
('Cary', 'Fukunaga', 'Mexican'),
('Catalina', 'Sandino Moreno', 'Colombian'),
('Catherine', 'Breillat', 'French'),
('Catherine', 'Hardwicke', 'American'),
('Celina', 'Murga', 'Argentinian'),
('Cem', 'Kaplinoglu', 'Turkish'),
('Cem', 'Yılmaz', 'Turkish'),
('Cesar', 'Diaz', 'Guatemalan'),
('Chan-wook', 'Park', 'South Korean'),
('Chantal', 'Akerman', 'Belgian'),
('Charlie', 'Chaplin', 'British'),
('Chen', 'Kaige', 'Chinese'),
('Chineze', 'Anyaele', 'Nigerian'),
('Chookiat', 'Sakveerakul', 'Thai'),
('Chris', 'Kraus', 'German'),
('Christian', 'Jimenéz', 'Chilean'),
('Christian', 'Petzold', 'German'),
('Christian', 'Zübert', 'German'),
('Christine', 'Repond', 'Swiss'),
('Christoffer', 'Boe', 'Danish'),
('Christopher', 'Guest', 'American'),
('Christopher', 'Nolan', 'British'),
('Chul-soo', 'Jang', 'South Korean'),
('Chung', 'Chang-wha', 'South Korean'),
('Ciro', 'Guerra', 'Colombian'),
('Claude', 'Barras', 'Swiss'),
('Claude', 'Chabrol', 'French'),
('Claude', 'Lanzmann', 'French'),
('Clint', 'Eastwood', 'American'),
('Clio', 'Barnard', 'British'),
('Costa-Gavras', 'Z', 'Greek'),
('Cristian', 'Mungiu', 'Romanian'),
('César', 'Acevedo', 'Colombian'),
('Dae-woo', 'Kim', 'South Korean'),
('Dae-woong', 'Lim', 'South Korean'),
('Damien', 'Chazelle', 'American'),
('Dang', 'Nhat Minh', 'Vietnamese'),
('Daniel', 'Alfredson', 'Swedish'),
('Daniel', 'Gimelberg', 'Argentinian'),
('Danny', 'Boyle', 'British'),
('Daoud', 'Abdel Sayed', 'Egyptian'),
('Dario', 'Argento', 'Italian'),
('Dariush', 'Mehrjui', 'Iranian'),
('Darrell', 'Roodt', 'South African'),
('Darren', 'Aronofsky', 'American'),
('David', 'Ayer', 'American'),
('David', 'Cronenberg', 'Canadian'),
('David', 'Fincher', 'American'),
('David', 'Gordon Green', 'American'),
('David', 'Lean', 'British'),
('David', 'Lynch', 'American'),
('David', 'Mackenzie', 'British'),
('David', 'O. Russell', 'American'),
('David', 'Ondříček', 'Czech'),
('David', 'Twohy', 'American'),
('Dee', 'Rees', 'American'),
('Deepa', 'Mehta', 'Canadian'),
('Denis', 'Villeneuve', 'Canadian'),
('Dennis', 'Gansel', 'German'),
('Denys', 'Arcand', 'Canadian'),
('Dervis', 'Zaim', 'Turkish'),
('Des', 'McAnuff', 'Canadian'),
('Dev', 'Anand', 'Indian'),
('Diana', 'Ospina', 'Colombian'),
('Dick', 'Maas', 'Dutch'),
('Dinh', 'Tuan Vu', 'Vietnamese'),
('Dinos', 'Dimopoulos', 'Greek'),
('Dome', 'Karukoski', 'Finnish'),
('Dominga', 'Sotomayor', 'Chilean'),
('Duc', 'Ngoc', 'Vietnamese'),
('Duncan', 'Jones', 'British'),
('Dziga', 'Vertov', 'Russian'),
('Edgar', 'Wright', 'British'),
('Ekachai', 'Uekrongtham', 'Thai'),
('Elem', 'Klimov', 'Russian'),
('Elia', 'Kazan', 'Greek'),
('Ella', 'Lemhagen', 'Swedish'),
('Emilio', 'Fernández', 'Mexican'),
('Enas', 'El Degheidy', 'Egyptian'),
('Eric', 'Rohmer', 'French'),
('Erich', 'von Stroheim', 'Austrian'),
('Erik', 'Poppe', 'Norwegian'),
('Erik', 'Skjoldbjærg', 'Norwegian'),
('Ermanno', 'Olmi', 'Italian'),
('Ertem', 'Eğilmez', 'Turkish'),
('Eskil', 'Vogt', 'Norwegian'),
('Espen', 'Sandberg', 'Norwegian'),
('Ester', 'Krumbachová', 'Czech'),
('Ethan', 'Coen', 'American'),
('Everardo', 'Gout', 'Mexican'),
('Ezequiel', 'Acuña', 'Argentinian'),
('F. Gary', 'Gray', 'American'),
('Fabián', 'Bielinsky', 'Argentinian'),
('Faisal', 'Qureshi', 'Pakistani'),
('Faisal', 'Saif', 'Pakistani'),
('Farah', 'Khan', 'Indian'),
('Farhan', 'Akhtar', 'Indian'),
('Farooq', 'Rind', 'Pakistani'),
('Fatih', 'Akın', 'German-Turkish'),
('Faysal', 'Qureshi', 'Pakistani'),
('Federico', 'Fellini', 'Italian'),
('Federico', 'Weingartner', 'Argentinian'),
('Felipe', 'Aljure', 'Colombian'),
('Felix', 'Van Groeningen', 'Belgian'),
('Feng', 'Xiaogang', 'Chinese'),
('Fenia', 'Cossovitsa', 'Greek'),
('Ferenc', 'Török', 'Hungarian'),
('Ferit', 'Karahan', 'Turkish'),
('Fernand', 'Melgar', 'Swiss'),
('Fernando', 'Arias', 'Colombian'),
('Fernando', 'Meirelles', 'Brazilian'),
('Fernando', 'Trueba', 'Spanish'),
('Fernando', 'Valenzuela', 'Colombian'),
('Ferzan', 'Özpetek', 'Turkish'),
('Fien', 'Troch', 'Belgian'),
('Florian', 'Cossen', 'German'),
('Florian', 'Henckel von Donnersmarck', 'German'),
('Fons', 'Rademakers', 'Dutch'),
('Francis', 'Ford Coppola', 'American'),
('Frank', 'Darabont', 'American'),
('François', 'Truffaut', 'French'),
('Fred', 'Keller', 'Swiss'),
('Fred', 'Zinnemann', 'Austrian'),
('Fritz', 'Lang', 'Austrian'),
('Fruit', 'Chan', 'Hong Kong'),
('Gabriel', 'Axel', 'Danish'),
('Gabriel', 'Martiínez', 'Argentinian'),
('Gareth', 'Edwards', 'British'),
('Garth', 'Jennings', 'British'),
('Gaspar', 'Noé', 'French'),
('Gastón', 'Duprat', 'Argentinian'),
('Gavin', 'Hood', 'South African'),
('Genevieve', 'Nnaji', 'Nigerian'),
('George', 'Clooney', 'American'),
('George', 'Lucas', 'American'),
('George', 'Miller', 'Australian'),
('George', 'Nolfi', 'American'),
('George', 'Roy Hill', 'American'),
('Gert', 'Van Niekerk', 'South African'),
('Ghorban', 'Mohammadpour', 'Iranian'),
('Giannis', 'Dalianidis', 'Greek'),
('Gillian', 'Armstrong', 'Australian'),
('Giuseppe', 'Tornatore', 'Italian'),
('Glauber', 'Rocha', 'Brazilian'),
('Gore', 'Verbinski', 'American'),
('Gregor', 'Jordan', 'Australian'),
('Greta', 'Gerwig', 'American'),
('Grietjie', 'Lee', 'South African'),
('Guillermo', 'del Toro', 'Mexican'),
('Gurinder', 'Chadha', 'British'),
('Guru', 'Dutt', 'Indian'),
('Gus', 'Van Sant', 'American'),
('Gust Van', 'den Berghe', 'Belgian'),
('Gustaf', 'Molander', 'Swedish'),
('Guy', 'Ritchie', 'British'),
('Gyula', 'Maár', 'Hungarian'),
('György', 'Pálfi', 'Hungarian'),
('Gábor', 'Koltay', 'Hungarian'),
('Götz', 'Spielmann', 'Austrian'),
('Hae-sung', 'Song', 'South Korean'),
('Hala', 'Khalil', 'Egyptian'),
('Hamid', 'Nematollah', 'Iranian'),
('Hani', 'Ramzy', 'Egyptian'),
('Hannes', 'Holm', 'Swedish'),
('Hans', 'Petter Moland', 'Norwegian'),
('Harold', 'Diaz', 'Colombian'),
('Hassan', 'Askari', 'Pakistani'),
('Hayao', 'Miyazaki', 'Japanese'),
('Hector', 'Babenco', 'Brazilian'),
('Heitor', 'Dhalia', 'Brazilian'),
('Henning', 'Carlsen', 'Danish'),
('Henry', 'Rincón', 'Colombian'),
('Hideo', 'Kojima', 'Japanese'),
('Hirokazu', 'Kore-eda', 'Japanese'),
('Hiroshi', 'Inagaki', 'Japanese'),
('Homi', 'Adajania', 'Indian'),
('Hong', 'Sang-soo', 'South Korean'),
('Hoon-jung', 'Park', 'South Korean'),
('Hou', 'Hsiao-hsien', 'Taiwanese'),
('Hrishikesh', 'Mukherjee', 'Indian'),
('Hsiao-Hsien', 'Hou', 'Taiwanese'),
('Hugo', 'Gatti', 'Argentinian'),
('Hun', 'Jang', 'South Korean'),
('Håvard', 'Bustnes', 'Norwegian'),
('Iakovos', 'Kambanelis', 'Greek'),
('Ignacio', 'Aguero', 'Chilean'),
('Il-gon', 'Song', 'South Korean'),
('Ildikó', 'Enyedi', 'Hungarian'),
('Imran', 'Malik', 'Pakistani'),
('Imtiaz', 'Ali', 'Indian'),
('Indra', 'Kumar', 'Indian'),
('Ingmar', 'Bergman', 'Swedish'),
('Iram', 'Haq', 'Norwegian'),
('Isaac', 'Ezban', 'Mexican'),
('Isabel', 'Coixet', 'Spanish'),
('Isao', 'Takahata', 'Japanese'),
('Issa', 'López', 'Mexican'),
('István', 'Szabó', 'Hungarian'),
('Ivan', 'Passer', 'Czech'),
('Ivan', 'Reitman', 'Canadian'),
('Iwan', 'Schumacher', 'Swiss'),
('J.A.', 'Bayona', 'Spanish'),
('Jacek', 'Bławut', 'Polish'),
('Jacques', 'Audiard', 'Belgian'),
('Jacques', 'Rivette', 'French'),
('Jacques', 'Tati', 'French'),
('Jadesola', 'Osiberu', 'Nigerian'),
('Jae-Hyun', 'Jang', 'South Korean'),
('Jae-young', 'Kwak', 'South Korean'),
('Jafar', 'Panahi', 'Iranian'),
('Jahmil', 'X.T. Qubeka', 'South African'),
('Jaime', 'Humberto Hermosillo', 'Mexican'),
('Jaime', 'Osorio', 'Colombian'),
('Jalmari', 'Helander', 'Finnish'),
('James', 'Cameron', 'Canadian'),
('James', 'Mangold', 'American'),
('James', 'Wan', 'Malaysian'),
('Jami', 'Meem', 'Pakistani'),
('Jami', 'Meemar', 'Pakistani'),
('Jan', 'Gissberg', 'Swedish'),
('Jan', 'Hřebejk', 'Czech'),
('Jan', 'Komasa', 'Polish'),
('Jan', 'P. Matuszyński', 'Polish'),
('Jan', 'Svěrák', 'Czech'),
('Jan', 'Trobisch', 'German'),
('Jan', 'Troell', 'Swedish'),
('Jan', 'Švankmajer', 'Czech'),
('Jane', 'Campion', 'New Zealander'),
('Jannik', 'Johansen', 'Danish'),
('Janusz', 'Majewski', 'Polish'),
('Jason', 'Reitman', 'Canadian'),
('Jawad', 'Bashir', 'Pakistani'),
('Jay', 'Roach', 'American'),
('Jean', 'Renoir', 'French'),
('Jean', 'van de Velde', 'Dutch'),
('Jean-Luc', 'Godard', 'French-Swiss'),
('Jean-Marc', 'Vallée', 'Canadian'),
('Jean-Pierre', 'Jeunet', 'French'),
('Jenna', 'Bass', 'South African'),
('Jens', 'Lien', 'Norwegian'),
('Jeon', 'Kyu-hwan', 'South Korean'),
('Jerzy', 'Kawalerowicz', 'Polish'),
('Jerzy', 'Skolimowski', 'Polish'),
('Jessica', 'Hausner', 'Austrian'),
('Jhonny', 'Hendrix Hinestroza', 'Colombian'),
('Jia', 'Zhangke', 'Chinese'),
('Jim', 'Jarmusch', 'American'),
('Jim', 'Sheridan', 'Irish'),
('Jin-ho', 'Hur', 'South Korean'),
('Jiří', 'Barta', 'Czech'),
('Jiří', 'Krejčík', 'Czech'),
('Jiří', 'Menzel', 'Czech'),
('Jiří', 'Weiss', 'Czech'),
('Joachim', 'Rønning', 'Norwegian'),
('Joaquim', 'Pedro de Andrade', 'Brazilian'),
('Joaquín', 'Del Paso', 'Mexican'),
('Joel', 'Coen', 'American'),
('Joel', 'Edgerton', 'Australian'),
('Joel', 'Schumacher', 'American'),
('Johan', 'Renck', 'Swedish'),
('John', 'Carpenter', 'American'),
('John', 'Cassavetes', 'American'),
('John', 'Ford', 'American'),
('John', 'Hillcoat', 'Australian'),
('John', 'Hughes', 'American'),
('John', 'Krasinski', 'American'),
('John', 'Lasseter', 'American'),
('John', 'McTiernan', 'American'),
('John', 'Woo', 'Hong Kong'),
('Johnnie', 'To', 'Hong Kong'),
('Jon', 'Wright', 'Norwegian'),
('Jonathan', 'Demme', 'American'),
('Jonathan', 'Glazer', 'British'),
('Jonathan', 'Lynn', 'British'),
('Jong-Yeol', 'Baek', 'South Korean'),
('Jong-bin', 'Yoon', 'South Korean'),
('Joon-hwan', 'Jang', 'South Korean'),
('Jordan', 'Peele', 'American'),
('Jorge', 'Alí Triana', 'Colombian'),
('Josh', 'Safdie', 'American'),
('Joss', 'Whedon', 'American'),
('José', 'Bohr', 'Chilean'),
('José', 'Padilha', 'Brazilian'),
('João', 'Moreira Salles', 'Brazilian'),
('Juan', 'Taratuto', 'Argentinian'),
('Juan Antonio', 'Bardem', 'Spanish'),
('Juan José', 'Campanella', 'Argentinian'),
('Judd', 'Apatow', 'American'),
('Juho', 'Kuosmanen', 'Finnish'),
('Jukka', 'Pekka Laakso', 'Finnish'),
('Julia', 'Murat', 'Brazilian'),
('Julio', 'Bressane', 'Brazilian'),
('Juraj', 'Herz', 'Czech'),
('Juzo', 'Itami', 'Japanese'),
('Jörn', 'Donner', 'Finnish'),
('Jørgen', 'Leth', 'Danish'),
('Kabir', 'Khan', 'Indian'),
('Kaisa', 'Rastimo', 'Finnish'),
('Kamal', 'Tabrizi', 'Iranian'),
('Kamran', 'Hafeez', 'Pakistani'),
('Kamran', 'Shahid', 'Pakistani'),
('Kaneto', 'Shindō', 'Japanese'),
('Karan', 'Johar', 'Indian'),
('Karen', 'Shakhnazarov', 'Russian'),
('Karim', 'Aïnouz', 'Brazilian'),
('Kashan', 'Admani', 'Pakistani'),
('Katarzyna', 'Adamik', 'Polish'),
('Kathryn', 'Bigelow', 'American'),
('Kati', 'Outinen', 'Finnish'),
('Katja', 'Gauriloff', 'Finnish'),
('Katleho', 'Ramaphakela', 'South African'),
('Katsuhiro', 'Otomo', 'Japanese'),
('Kay', 'Pollak', 'Swedish'),
('Kazimierz', 'Kutz', 'Polish'),
('Kazım', 'Öz', 'Turkish'),
('Kelly', 'Reichardt', 'American'),
('Kemi', 'Adetiba', 'Nigerian'),
('Ken', 'Loach', 'British'),
('Ken', 'Russell', 'British'),
('Kenji', 'Mizoguchi', 'Japanese'),
('Khairy', 'Beshara', 'Egyptian'),
('Khaled', 'Youssef', 'Egyptian'),
('Khalid', 'Ahmed', 'Pakistani'),
('Khalo', 'Matabane', 'South African'),
('Ki-duk', 'Kim', 'South Korean'),
('Kiko', 'Goifman', 'Brazilian'),
('Kim', 'Jee-woon', 'South Korean'),
('Kim', 'Ki-duk', 'South Korean'),
('Kim', 'Kyoung-tae', 'South Korean'),
('Kim', 'Min-hee', 'South Korean'),
('Kim', 'Tae-yong', 'South Korean'),
('Kingsley', 'Ogoro', 'Nigerian'),
('Kinji', 'Fukasaku', 'Japanese'),
('Kiyoshi', 'Kurosawa', 'Japanese'),
('Klaus', 'Härö', 'Finnish'),
('Kleber', 'Mendonça Filho', 'Brazilian'),
('Kornél', 'Mundruczó', 'Hungarian'),
('Krishna', 'D.K.', 'Indian'),
('Krzysztof', 'Kieślowski', 'Polish'),
('Krzysztof', 'Zanussi', 'Polish'),
('Kunal', 'Deshmukh', 'Indian'),
('Kunal', 'Kohli', 'Indian'),
('Kunihiko', 'Ikuhara', 'Japanese'),
('Kunle', 'Afolayan', 'Nigerian'),
('Kurt', 'Mayer', 'Austrian'),
('Kutluğ', 'Ataman', 'Turkish'),
('Kyoung-Taek', 'Kwon', 'South Korean'),
('Kyu-tae', 'Kim', 'South Korean'),
('Kyzza', 'Terrazas', 'Mexican'),
('Lana', 'Wachowski', 'American'),
('Lars', 'von Trier', 'Danish'),
('Lasse', 'Hallström', 'Swedish'),
('Laura', 'Mora', 'Colombian'),
('Lav', 'Diaz', 'Filipino'),
('Le', 'Thi Minh Ly', 'Vietnamese'),
('Le', 'Van Kiet', 'Vietnamese'),
('Lech', 'Majewski', 'Polish'),
('Lee', 'Byeong-heon', 'South Korean'),
('Lee', 'Chang-dong', 'South Korean'),
('Lee', 'Hae-young', 'South Korean'),
('Lee', 'Hyo-jung', 'South Korean'),
('Lee', 'Jeong-beom', 'South Korean'),
('Lee', 'Joon-ik', 'South Korean'),
('Lee', 'Tamahori', 'New Zealander'),
('Lee', 'Yoon-ki', 'South Korean'),
('Leif', 'Lindblom', 'Swedish'),
('Leni', 'Riefenstahl', 'German'),
('Lev', 'Kuleshov', 'Russian'),
('Lilly', 'Wachowski', 'American'),
('Lionel', 'Baier', 'Swiss'),
('Lisa', 'Siwe', 'Swedish'),
('Lisandro', 'Alonso', 'Argentinian'),
('Lone', 'Scherfig', 'Danish'),
('Louis', 'Malle', 'French'),
('Lu', 'Chuan', 'Chinese'),
('Luc', 'Besson', 'French'),
('Lucas', 'Deminico', 'Argentinian'),
('Luchino', 'Visconti', 'Italian'),
('Lucrecia', 'Martel', 'Argentinian'),
('Luis', 'Buñuel', 'Spanish'),
('Luis', 'Ospina', 'Colombian'),
('Lukas', 'Dhont', 'Belgian'),
('Lukas', 'Moodysson', 'Swedish'),
('Lulu', 'Wang', 'American'),
('Luv', 'Ranjan', 'Indian'),
('Lynne', 'Ramsay', 'Scottish'),
('M.', 'Night Shyamalan', 'American'),
('M.L.', 'Pundhevanop', 'Thai'),
('Mad Max', 'Gibson', 'Australian'),
('Magdi', 'Ahmed Ali', 'Egyptian'),
('Mahesh', 'Bhatt', 'Indian'),
('Majid', 'Majidi', 'Iranian'),
('Makoto', 'Shinkai', 'Japanese'),
('Malik', 'Bendjelloul', 'Swedish'),
('Mamoru', 'Hosoda', 'Japanese'),
('Mandla', 'Dube', 'South African'),
('Mani', 'Ratnam', 'Indian'),
('Manmohan', 'Desai', 'Indian'),
('Manmohan', 'Singh', 'Indian'),
('Manoj', 'Kumar', 'Indian'),
('Marcelo', 'Machado', 'Brazilian'),
('Marcelo', 'Pineyro', 'Argentinian'),
('Margarethe', 'von Trotta', 'German'),
('Maria', 'Sødahl', 'Norwegian'),
('Marialy', 'Rivas', 'Chilean'),
('Mariano', 'Llinás', 'Argentinian'),
('Marie', 'Louise Ekman', 'Swedish'),
('Marielle', 'Heller', 'American'),
('Marius', 'Holst', 'Norwegian'),
('Markku', 'Pölönen', 'Finnish'),
('Markus', 'Imhoof', 'Swiss'),
('Martin', 'McDonagh', 'British'),
('Martin', 'Scorsese', 'American'),
('Marwan', 'Hamed', 'Egyptian'),
('Masaaki', 'Yuasa', 'Japanese'),
('Masaki', 'Kobayashi', 'Japanese'),
('Masoud', 'Kimiai', 'Iranian'),
('Matias', 'Bize', 'Chilean'),
('Matias', 'Meyer', 'Mexican'),
('Mats', 'Arehn', 'Swedish'),
('Mats', 'Grorud', 'Swedish'),
('Matthew', 'McConaughey', 'American'),
('Matthew', 'Vaughn', 'British'),
('Mauritz', 'Stiller', 'Swedish'),
('Max', 'Kestner', 'Danish'),
('Mazhar', 'Moin', 'Pakistani'),
('Małgorzata', 'Szumowska', 'Polish'),
('Mehboob', 'Khan', 'Indian'),
('Mehdi', 'Fakhimzadeh', 'Iranian'),
('Mehreen', 'Jabbar', 'Pakistani'),
('Mehwish', 'Mansoor', 'Pakistani'),
('Memduh', 'Ün', 'Turkish'),
('Metin', 'Erksan', 'Turkish'),
('Michael', 'Apted', 'British'),
('Michael', 'Bay', 'American'),
('Michael', 'Cacoyannis', 'Greek'),
('Michael', 'Glawogger', 'Austrian'),
('Michael', 'Haneke', 'Austrian'),
('Michael', 'Mann', 'American'),
('Michael', 'Matthews', 'South African'),
('Michael', 'Moore', 'American'),
('Michael', 'Radford', 'British'),
('Michaël', 'R. Roskam', 'Belgian'),
('Michel', 'Gondry', 'French'),
('Michelangelo', 'Antonioni', 'Italian'),
('Miguel', 'Cohan', 'Argentinian'),
('Mika', 'Kaurismäki', 'Finnish'),
('Mikael', 'Håfström', 'Swedish'),
('Mike', 'Leigh', 'British'),
('Mike', 'Schaerer', 'Swiss'),
('Mike', 'van Diem', 'Dutch'),
('Miklós', 'Jancsó', 'Hungarian'),
('Milap', 'Zaveri', 'Indian'),
('Mildred', 'Okwo', 'Nigerian'),
('Milos', 'Forman', 'Czech'),
('Min-sik', 'Choi', 'South Korean'),
('Min-suk', 'Kim', 'South Korean'),
('Mohamed', 'Diab', 'Egyptian'),
('Mohamed', 'Shukry', 'Egyptian'),
('Mohammad', 'Ali Talebi', 'Iranian'),
('Mohammad', 'Rasoulof', 'Iranian'),
('Mohit', 'Suri', 'Indian'),
('Mohsen', 'Makhmalbaf', 'Iranian'),
('Mohsin', 'Talat', 'Pakistani'),
('Morten', 'Arnfred', 'Danish'),
('Morten', 'Tyldum', 'Norwegian'),
('Mudassar', 'Aziz', 'Indian'),
('Mário', 'Peixoto', 'Brazilian'),
('Márta', 'Mészáros', 'Hungarian'),
('Na', 'Hong-jin', 'South Korean'),
('Nabeel', 'Qureshi', 'Pakistani'),
('Nabil', 'Ben Yadir', 'Belgian'),
('Nadeem', 'Baig', 'Pakistani'),
('Nadeem', 'Cheema', 'Pakistani'),
('Nadeem', 'Khan', 'Pakistani'),
('Nadeem', 'Mandviwalla', 'Pakistani'),
('Nagisa', 'Ōshima', 'Japanese'),
('Nanni', 'Moretti', 'Italian'),
('Naoko', 'Yamada', 'Japanese'),
('Nashit', 'Zaigham', 'Pakistani'),
('Nasir', 'Hussain', 'Indian'),
('Nawapol', 'Thamrongrattanarit', 'Thai'),
('Necati', 'Akpinar', 'Turkish'),
('Necip', 'Caghan', 'Turkish'),
('Neeraj', 'Pandey', 'Indian'),
('Neil', 'Jordan', 'Irish'),
('Neill', 'Blomkamp', 'South African'),
('Nelson', 'Pereira dos Santos', 'Brazilian'),
('Nemes', 'László', 'Hungarian'),
