('109 Cinemas Grandberry Mall', 310, '3D', 'Japan, Tokyo'),
('Bonifacio High Street Cinema', 310, '3D', 'Philippines, Taguig'),
('Bonifacio High Street Cinemas', 310, '3D', 'Philippines, Taguig City'),
('Broadway Circuit Cyberport', 310, '3D', 'Hong Kong, Cyberport'),
('Broadway Circuit MegaBox', 190, '3D', 'Hong Kong, Kowloon Bay'),
('Broadway Circuit The ONE', 280, 'IMAX', 'Hong Kong, Kowloon'),
('CGR Paris Lilas', 160, 'Standard', 'France, Paris'),
('CGV Busan Seomyeon', 170, 'Standard', 'South Korea, Busan'),
('CGV Central Park', 190, '3D', 'Indonesia, Jakarta'),
('CGV Cheongdam Cine City', 190, '3D', 'South Korea, Seoul'),
('CGV Cinema - Guangzhou Haizhu', 190, '3D', 'China, Guangzhou'),
('CGV Cinema Shenzhen', 180, 'Standard', 'China, Shenzhen'),
('CGV Cinema West Nanjing', 230, '3D', 'China, Nanjing'),
('CGV Cinemas', 180, 'IMAX', 'South Korea, Seoul'),
('CGV Crescent Mall', 190, '3D', 'Vietnam, Ho Chi Minh City'),
('CGV Gangbyeon', 310, '3D', 'South Korea, Seoul'),
('CGV Gangnam', 310, '3D', 'South Korea, Seoul'),
('CGV Grand Indonesia', 280, 'IMAX', 'Indonesia, Jakarta'),
('CGV Incheon', 260, 'IMAX', 'South Korea, Incheon'),
('CGV Mall Kelapa Gading', 290, 'IMAX', 'Indonesia, Jakarta'),
('CGV Mokdong', 170, 'Standard', 'South Korea, Seoul'),
('CGV Pacific Place', 200, '3D', 'Indonesia, Jakarta'),
('CGV Paris Van Java', 190, '3D', 'Indonesia, Bandung'),
('CGV Senayan City', 200, '3D', 'Indonesia, Jakarta'),
('CGV Sinchon', 190, '3D', 'South Korea, Seoul'),
('CGV Summarecon Mal Serpong', 240, 'Standard', 'Indonesia, Tangerang'),
('CGV Sun Plaza Medan', 170, 'Standard', 'Indonesia, Medan'),
('CGV Trans Studio Mall Makassar', 310, '3D', 'Indonesia, Makassar'),
('CGV Transmart Buah Batu', 260, 'Standard', 'Indonesia, Bandung'),
('CGV Transmart Cilandak', 260, 'Standard', 'Indonesia, Jakarta'),
('CGV Tunjungan Plaza', 220, 'IMAX', 'Indonesia, Surabaya'),
('CGV Vincom Binh Thanh', 170, 'Standard', 'Vietnam, Ho Chi Minh City'),
('CGV Vincom Bà Triệu', 310, '3D', 'Vietnam, Hanoi'),
('CGV Vincom Center Haiphong', 310, '3D', 'Vietnam, Haiphong'),
('CGV Vincom Dong Khoi', 280, 'IMAX', 'Vietnam, Ho Chi Minh City'),
('CGV Vincom Go Vap', 310, '3D', 'Vietnam, Ho Chi Minh City'),
('CGV Vincom Mega Mall Thao Dien', 170, 'Standard', 'Vietnam, Ho Chi Minh City'),
('CGV Vincom Nguyen Chi Thanh', 190, '3D', 'Vietnam, Hanoi'),
('CGV Vincom Plaza Ha Dong', 170, 'Standard', 'Vietnam, Hanoi'),
('CGV Vincom Thao Dien', 190, '3D', 'Vietnam, Ho Chi Minh City'),
('CGV Wangsimni', 170, 'Standard', 'South Korea, Seoul'),
('CGV Yongsan', 200, 'IMAX', 'South Korea, Seoul'),
('CGV Yongsan I-Park Mall', 280, 'IMAX', 'South Korea, Seoul'),
('CJ CGV Myeongdong Station Cine Library', 260, 'Standard', 'South Korea, Seoul'),
('Cairo Festival City Mall Cinemas', 280, 'IMAX', 'Egypt, Cairo'),
('Capitol', 240, 'Standard', 'Sweden, Göteborg'),
('Capitol', 240, 'Standard', 'Switzerland, Bern'),
('Carnival Cinemas Ansal Plaza', 200, '3D', 'India, Delhi'),
('Carnival Cinemas Dreams Mall', 220, 'IMAX', 'India, Bhandup'),
('Carnival Cinemas High Street Phoenix', 160, 'IMAX', 'India, Mumbai'),
('Carnival Cinemas Moviestar', 290, 'IMAX', 'India, Goregaon'),
('Carnival Cinemas Rockline Mall', 220, 'IMAX', 'India, Bangalore'),
('Carnival Cinemas Star Mall', 290, 'IMAX', 'India, Gurgaon'),
('Cathay Cineplex AMK Hub', 220, 'IMAX', 'Singapore, Ang Mo Kio'),
('Cathay Cineplex Causeway Point', 200, '3D', 'Singapore, Woodlands'),
('Cathay Cineplex JEM', 230, 'Standard', 'Singapore, Jurong East'),
('Cathay Cineplex West Mall', 290, 'IMAX', 'Singapore, Bukit Batok'),
('Centaurus Cineplex', 240, 'Standard', 'Pakistan, Islamabad'),
('Chhaya Cinema', 290, 'IMAX', 'Bangladesh, Dhaka'),
('Cine ABC', 190, '3D', 'Belgium, Brussels'),
('Cine Belas Artes', 270, 'Standard', 'Brazil, Sao Paulo'),
('Cine Capitol', 180, '3D', 'Spain, Madrid'),
('Cine Capitol Gran Vía', 160, 'IMAX', 'Spain, Madrid'),
('Cine Colombia Andino', 280, 'IMAX', 'Colombia, Bogotá'),
('Cine Colombia Calima', 290, 'IMAX', 'Colombia, Bogotá'),
('Cine Colombia Gran Estación', 170, 'Standard', 'Colombia, Bogotá'),
('Cine Colombia Santafé', 280, 'IMAX', 'Colombia, Bogotá'),
('Cine Colombia Titan Plaza', 220, 'IMAX', 'Colombia, Bogotá'),
('Cine Colombia Titán Plaza', 200, '3D', 'Colombia, Bogotá'),
('Cine Colombia Unicentro', 190, '3D', 'Colombia, Bogotá'),
('Cine Doré', 200, '3D', 'Spain, Madrid'),
('Cine Hoyts La Reina', 200, '3D', 'Chile, Santiago'),
('Cine Hoyts La Reina 4D', 290, 'IMAX', 'Chile, Santiago'),
('Cine Hoyts Maipú', 190, '3D', 'Chile, Maipú'),
('Cine Hoyts Parque Arauco', 280, 'IMAX', 'Chile, Santiago'),
('Cine Hoyts San Agustin', 260, 'Standard', 'Chile, Santiago'),
('Cine Odeon Petrobras', 320, 'IMAX', 'Brazil, Rio de Janeiro'),
('Cine Palafox', 170, 'Standard', 'Spain, Madrid'),
('Cine Paris', 240, 'Standard', 'Belgium, Brussels'),
('Cine Sur Nervión Plaza', 310, '3D', 'Spain, Seville'),
('Cine Sur Plaza Éboli', 240, 'Standard', 'Spain, Madrid'),
('Cine Yelmo Ideal', 280, 'IMAX', 'Spain, Madrid'),
('Cine Yelmo Islazul', 260, 'Standard', 'Spain, Madrid'),
('Cine Yelmo Planetocio', 290, 'IMAX', 'Spain, Collado Villalba'),
('Cine Yelmo Plaza Norte', 280, 'IMAX', 'Spain, Madrid'),
('Cine Yelmo Roquetas de Mar', 290, 'IMAX', 'Spain, Roquetas de Mar'),
('Cine de Chef Guro', 310, '3D', 'South Korea, Seoul'),
('CineCentre GrandWest', 290, '3D', 'South Africa, Cape Town'),
('CineCentre Killarney Mall', 200, '3D', 'South Africa, Johannesburg'),
('CineCentre Pavilion', 290, 'IMAX', 'South Africa, Durban'),
('CineCentre Suncoast', 200, 'Standard', 'South Africa, Durban'),
('CineCity Vlissingen', 290, 'IMAX', 'Netherlands, Vlissingen'),
('CineMec Utrecht', 200, '3D', 'Netherlands, Utrecht'),
('CineRoyal Dalma Mall', 240, 'Standard', 'UAE, Abu Dhabi'),
('CineRoyal Khalidiyah Mall', 310, '3D', 'UAE, Abu Dhabi'),
('CineStar Anděl', 230, 'Standard', 'Czech Republic, Prague'),
('CineStar Anděl - VIP', 170, 'Standard', 'Czech Republic, Prague'),
('CineStar Anděl 4DX', 170, 'Standard', 'Czech Republic, Prague'),
('CineStar Anděl IMAX', 240, 'Standard', 'Czech Republic, Prague'),
('CineStar Berlin Potsdamer Platz', 200, '3D', 'Germany, Berlin'),
('CineStar Cubix am Alexanderplatz', 260, 'Standard', 'Germany, Berlin'),
('CineStar Eden', 220, 'IMAX', 'Czech Republic, Prague'),
('CineStar Frankfurt Metropolis', 220, 'IMAX', 'Germany, Frankfurt'),
('CineStar Frankfurt am Main', 220, 'IMAX', 'Germany, Frankfurt'),
('CineStar Hellersdorf', 290, 'IMAX', 'Germany, Berlin'),
('CineStar IMAX', 310, '3D', 'Germany, Berlin'),
('CineStar Kino im Atrium', 170, 'Standard', 'Germany, Weimar'),
('CineStar Metropolis', 220, 'IMAX', 'Germany, Frankfurt'),
('CineStar Original', 240, 'Standard', 'Germany, Cologne'),
('CineStar Original im Sony Center', 280, 'IMAX', 'Germany, Berlin'),
('CineStar Pankrác', 220, 'IMAX', 'Czech Republic, Prague'),
('CineStar Sony Center', 170, '3D', 'Germany, Berlin'),
('CineStar Stuttgart SI-Centrum', 290, 'IMAX', 'Germany, Stuttgart'),
('CineStar Černý Most', 310, '3D', 'Czech Republic, Prague'),
('Cinebel', 260, 'Standard', 'Belgium, Brussels'),
('Cineblend', 220, 'IMAX', 'Netherlands, Amsterdam'),
('Cinecenter', 200, '3D', 'Netherlands, Amsterdam'),
('Cinecittà', 300, 'IMAX', 'Italy, Rome'),
('Cinecittà Multisala', 320, 'IMAX', 'Italy, Rome'),
('Cinecittà Nürnberg', 290, 'IMAX', 'Germany, Nürnberg'),
('Cineco Cinemas', 180, '3D', 'Qatar, Doha'),
('Cineco Cinemas Seef', 220, 'Standard', 'Bahrain, Manama'),
('Cineco City Center', 180, '3D', 'Qatar, Doha'),
('Cineco City Centre', 180, '3D', 'Qatar, Doha'),
('Cinedome Abtwil', 220, 'IMAX', 'Switzerland, St. Gallen'),
('Cinegold Plex', 260, 'Standard', 'Pakistan, Islamabad'),
('Cinegold Plex Bahria Town', 170, 'Standard', 'Pakistan, Rawalpindi'),
('Cinegold Plex Packages Mall', 190, '3D', 'Pakistan, Lahore'),
('Cinegold Plex Rawalpindi', 170, 'Standard', 'Pakistan, Rawalpindi'),
('Cinema Anteo', 160, 'IMAX', 'Italy, Milan'),
('Cinema Apollo', 290, 'IMAX', 'Italy, Ferrara'),
('Cinema Arcobaleno', 200, '3D', 'Italy, Milan'),
('Cinema Aventure', 290, 'IMAX', 'Belgium, Brussels'),
('Cinema Belgrano Multiplex', 240, 'Standard', 'Argentina, Buenos Aires'),
('Cinema Beltrade', 220, 'IMAX', 'Italy, Milan'),
('Cinema Centrale', 290, 'IMAX', 'Italy, Milan'),
('Cinema City AFI Cotroceni', 280, 'IMAX', 'Romania, Bucharest'),
('Cinema City Arad', 220, 'IMAX', 'Romania, Arad'),
('Cinema City Arkadia', 230, 'Standard', 'Poland, Warsaw'),
('Cinema City Arkády Pankrác', 190, '3D', 'Czech Republic, Prague'),
('Cinema City Bacau', 190, '3D', 'Romania, Bacau'),
('Cinema City Bonarka', 220, 'IMAX', 'Poland, Kraków'),
('Cinema City Braila', 260, 'Standard', 'Romania, Braila'),
('Cinema City Chodov', 200, '3D', 'Czech Republic, Prague'),
('Cinema City Flora', 200, '3D', 'Czech Republic, Prague'),
('Cinema City Galaxie', 190, '3D', 'Czech Republic, Prague'),
('Cinema City Galeria Mokotów', 310, '3D', 'Poland, Warsaw'),
('Cinema City Iulius Mall', 310, '3D', 'Romania, Cluj-Napoca'),
('Cinema City Letňany', 290, 'IMAX', 'Czech Republic, Prague'),
('Cinema City Liberec', 290, 'IMAX', 'Czech Republic, Liberec'),
('Cinema City Manufaktura', 240, 'Standard', 'Poland, Łódź'),
('Cinema City Mega Mall', 200, '3D', 'Romania, Bucharest'),
('Cinema City Nový Smíchov', 280, 'IMAX', 'Czech Republic, Prague'),
('Cinema City Olympia Brno', 260, 'Standard', 'Czech Republic, Brno'),
('Cinema City Olympia Plzeň', 220, 'IMAX', 'Czech Republic, Plzeň'),
('Cinema City Pardubice', 170, 'Standard', 'Czech Republic, Pardubice'),
('Cinema City Pitesti', 290, 'IMAX', 'Romania, Pitesti'),
('Cinema City Ploiesti', 240, 'Standard', 'Romania, Ploiesti'),
('Cinema City Silesia City Center', 170, 'Standard', 'Poland, Katowice'),
('Cinema City Sun Plaza', 230, 'Standard', 'Romania, Bucharest'),
('Cinema City Târgu Mures', 170, 'Standard', 'Romania, Târgu Mures'),
('Cinema City Zličín', 190, '3D', 'Czech Republic, Prague'),
('Cinema Devoto', 200, '3D', 'Argentina, Buenos Aires'),
('Cinema Galeries', 220, 'IMAX', 'Belgium, Brussels'),
('Cinema Mexico', 220, 'IMAX', 'Italy, Milan'),
('Cinema Palace', 200, '3D', 'Belgium, Brussels'),
('Cinema Palazzo del Cinema di Venezia', 200, '3D', 'Italy, Venice'),
('Cinema Park Europe', 190, '3D', 'Russia, Krasnoyarsk'),
('Cinema Park Evropeyskiy', 260, 'Standard', 'Russia, Moscow'),
('Cinema Park Gagarin', 240, 'Standard', 'Russia, Moscow'),
('Cinema Park Krasnaya Ploshchad', 160, 'IMAX', 'Russia, Moscow'),
('Cinema Park Krasnaya Presnya', 170, 'Standard', 'Russia, Moscow'),
('Cinema Park Kurskaya', 240, 'Standard', 'Russia, Moscow'),
('Cinema Park Leto Mall', 220, 'IMAX', 'Russia, St. Petersburg'),
('Cinema Park Linza', 170, 'Standard', 'Russia, Yekaterinburg'),
('Cinema Park Mega', 310, '3D', 'Russia, Novosibirsk'),
('Cinema Park Mega Belaya Dacha', 260, 'Standard', 'Russia, Kotelniki'),
('Cinema Park Mega Khimki', 190, '3D', 'Russia, Khimki'),
('Cinema Park Metropolis', 160, 'IMAX', 'Russia, Moscow'),
('Cinema Park Triumph Mall', 170, 'Standard', 'Russia, Saint Petersburg'),
('Cinema Qatar Villagio', 200, '3D', 'Qatar, Doha'),
('Cinema Riverside', 220, 'IMAX', 'Sweden, Helsingborg'),
('Cinema Royal Lund', 290, 'IMAX', 'Sweden, Lund'),
('Cinema Spegeln', 200, '3D', 'Sweden, Malmö'),
('Cinema Star Mega Belaya Dacha', 310, '3D', 'Russia, Kotelniki'),
('Cinema Star Metropolis', 240, 'Standard', 'Russia, Moscow'),
('Cinema Trevi', 220, 'IMAX', 'Italy, Rome'),
('Cinemall', 250, 'Standard', 'Lebanon, Tripoli'),
('Cinemall City Complex', 250, 'Standard', 'Lebanon, Beirut'),
('Cinemark Alto Las Condes', 260, 'Standard', 'Chile, Santiago'),
('Cinemark Botafogo Praia Shopping', 240, 'Standard', 'Brazil, Rio de Janeiro'),
('Cinemark Bradesco Prime', 280, 'IMAX', 'Brazil, São Paulo'),
('Cinemark Caballito', 190, '3D', 'Argentina, Buenos Aires'),
('Cinemark Calle 100', 170, 'Standard', 'Colombia, Bogotá'),
('Cinemark Downtown', 280, 'IMAX', 'Brazil, Rio de Janeiro'),
('Cinemark Downtown São Paulo', 280, 'IMAX', 'Brazil, São Paulo'),
('Cinemark Eldorado', 310, '3D', 'Brazil, Sao Paulo'),
('Cinemark Jockey Plaza', 190, '3D', 'Peru, Lima'),
('Cinemark Mall Aventura Plaza Bellavista', 260, 'Standard', 'Peru, Callao'),
('Cinemark Mall Marina Arauco', 190, '3D', 'Chile, Viña del Mar'),
('Cinemark Mall Plaza Norte', 170, 'Standard', 'Chile, Huechuraba'),
('Cinemark Mall Plaza Vespucio', 280, 'IMAX', 'Chile, Santiago'),
('Cinemark Malvinas Argentinas', 170, 'Standard', 'Argentina, Malvinas Argentinas'),
('Cinemark MegaPlaza', 170, 'Standard', 'Peru, Lima'),
('Cinemark Multicentro', 220, 'IMAX', 'Colombia, Bogotá'),
('Cinemark Open Plaza Angamos', 230, 'Standard', 'Peru, Lima'),
('Cinemark Palermo', 230, 'Standard', 'Argentina, Buenos Aires'),
('Cinemark Plaza Vespucio', 200, '3D', 'Chile, La Florida'),
('Cinemark Plaza de las Américas', 230, 'Standard', 'Colombia, Bogotá'),
('Cinemark Pátio Higienópolis', 220, 'Standard', 'Brazil, Sao Paulo'),
('Cinemark SP Market', 250, 'Standard', 'Brazil, Sao Paulo'),
('Cinemark Shopping Eldorado', 190, '3D', 'Brazil, São Paulo'),
('Cinemark Shopping Metrô Tucuruvi', 240, 'Standard', 'Brazil, Sao Paulo'),
('Cinemark Tinseltown', 190, '3D', 'USA, Houston'),
('Cinemark Tinseltown and XD', 320, 'IMAX', 'USA, Houston'),
('Cinemark Tortugas', 170, 'Standard', 'Argentina, Pilar'),
('Cinemark Tortugas Mall', 190, '3D', 'Argentina, Pilar'),
('Cinemark Village Mall', 310, '3D', 'Brazil, Rio de Janeiro'),
('Cinematek', 200, '3D', 'Belgium, Brussels'),
('CinemaxX Bielefeld', 240, 'Standard', 'Germany, Bielefeld'),
('CinemaxX Essen', 170, 'Standard', 'Germany, Essen'),
('CinemaxX Hamburg', 200, '3D', 'Germany, Hamburg'),
('CinemaxX Hamburg Dammtor', 200, '3D', 'Germany, Hamburg'),
('CinemaxX Stuttgart', 170, 'Standard', 'Germany, Stuttgart'),
('CinemaxX Stuttgart SI-Centrum', 190, '3D', 'Germany, Stuttgart'),
('Cinemaximum Akasya', 200, '3D', 'Turkey, Istanbul'),
('Cinemaximum Akbati', 290, 'IMAX', 'Turkey, Istanbul'),
('Cinemaximum Akbatı', 290, 'IMAX', 'Turkey, Istanbul'),
('Cinemaximum Brandium', 170, 'Standard', 'Turkey, Istanbul'),
('Cinemaximum Capacity', 170, 'Standard', 'Turkey, Istanbul'),
('Cinemaximum Capacity Sinemaları', 170, 'Standard', 'Turkey, Istanbul'),
('Cinemaximum Carousel', 170, 'Standard', 'Turkey, Istanbul'),
('Cinemaximum Citys Nişantaşı', 230, 'Standard', 'Turkey, Istanbul'),
('Cinemaximum City’s Nişantaşı', 310, '3D', 'Turkey, Istanbul'),
('Cinemaximum Emaar Square Mall', 190, '3D', 'Turkey, Istanbul'),
('Cinemaximum Istinye Park', 160, 'IMAX', 'Turkey, Istanbul'),
('Cinemaximum Kanyon', 230, 'Standard', 'Turkey, Istanbul'),
('Cinemaximum Marmara Forum', 220, 'IMAX', 'Turkey, Istanbul'),
('Cinemaximum MetroCity', 190, '3D', 'Turkey, Istanbul'),
('Cinemaximum Optimum Outlet', 290, 'IMAX', 'Turkey, Istanbul'),
('Cinemaximum Palladium', 190, '3D', 'Turkey, Istanbul'),
('Cinemaximum Piazza', 170, 'Standard', 'Turkey, Istanbul'),
('Cinemaximum Trump Towers', 190, '3D', 'Turkey, Istanbul'),
('Cinemaximum Viaport Venezia', 220, 'IMAX', 'Turkey, Istanbul'),
('Cinemaximum Zorlu Center', 190, '3D', 'Turkey, Istanbul'),
('Cinemaximum İstinye Park', 200, '3D', 'Turkey, Istanbul'),
('Cinemaximum İstinyePark', 230, 'Standard', 'Turkey, Istanbul'),
('Cinemaxx Berlin Alexanderplatz', 200, 'IMAX', 'Germany, Berlin'),
('Cinemaxx Bremen', 170, 'Standard', 'Germany, Bremen'),
('Cinemaxx Essen', 290, 'IMAX', 'Germany, Essen'),
('Cinemaxx Hamburg Dammtor', 280, 'IMAX', 'Germany, Hamburg'),
('Cinemaxx Mannheim', 190, '3D', 'Germany, Mannheim'),
('Cinemaxx Potsdamer Platz', 310, '3D', 'Germany, Berlin'),
('Cinemes Full HD', 200, 'Standard', 'Spain, Barcelona'),
('Cinemes Girona', 220, 'Standard', 'Spain, Barcelona'),
('Cinemex', 150, '3D', 'Mexico, Mexico City'),
('Cinemex Antara', 170, '3D', 'Mexico, Mexico City'),
('Cinemex Galerias Metepec', 190, '3D', 'Mexico, Metepec'),
('Cinemex Las Americas', 290, 'Standard', 'Mexico, Ecatepec'),
('Cinemex Mundo E', 230, 'Standard', 'Mexico, Tlalnepantla'),
('Cinemex Pabellon Cuauhtemoc', 190, 'Standard', 'Mexico, Mexico City'),
('Cinemex Pabellon Polanco', 190, '3D', 'Mexico, Mexico City'),
('Cinemex Paseo Acoxpa', 290, 'IMAX', 'Mexico, Mexico City'),
('Cinemex Patio Universidad', 190, 'Standard', 'Mexico, Mexico City'),
('Cinemex Plaza Satelite', 290, 'IMAX', 'Mexico, Naucalpan'),
('Cinemex Polanco', 220, 'IMAX', 'Mexico, Mexico City'),
('Cinemex Reforma', 230, 'Standard', 'Mexico, Mexico City'),
('Cinemex Reforma 222', 200, '3D', 'Mexico, Mexico City'),
('Cinemex Santa Fe', 190, '3D', 'Mexico, Mexico City'),
('Cinemex Satelite', 290, 'IMAX', 'Mexico, Naucalpan'),
('Cinemex Toreo', 170, 'Standard', 'Mexico, Naucalpan'),
('Cinepax Amanah Mall', 220, 'IMAX', 'Pakistan, Lahore'),
('Cinepax City Auditorium', 290, 'IMAX', 'Pakistan, Rawalpindi'),
('Cinepax Fortress Square', 290, 'IMAX', 'Pakistan, Lahore'),
('Cinepax Lake City', 220, 'IMAX', 'Pakistan, Lahore'),
('Cinepax Ocean Mall', 190, '3D', 'Pakistan, Karachi'),
('Cinepax Ocean Tower', 290, 'IMAX', 'Pakistan, Karachi'),
('Cinepax Packages Mall', 200, '3D', 'Pakistan, Lahore'),
('Cineplanet Alcázar', 280, 'IMAX', 'Peru, Lima'),
('Cineplanet Costanera Center', 200, '3D', 'Chile, Santiago'),
('Cineplanet Florida Center', 190, '3D', 'Chile, Santiago'),
('Cineplanet Mall Florida Center', 220, 'IMAX', 'Chile, La Florida'),
('Cineplanet Paseo Quilín', 240, 'Standard', 'Chile, Santiago'),
('Cineplanet Plaza Norte', 170, 'Standard', 'Chile, Huechuraba'),
('Cineplanet Plaza San Miguel', 290, 'IMAX', 'Peru, Lima'),
('Cineplanet Plaza Vespucio', 310, '3D', 'Chile, La Florida'),
('Cineplanet Primavera', 200, '3D', 'Peru, Lima'),
('Cineplanet San Miguel', 220, 'IMAX', 'Peru, Lima'),
('Cineplex Alhambra', 190, '3D', 'Germany, Berlin'),
('Cineplex Cinemas Coquitlam', 260, 'Standard', 'Canada, Coquitlam'),
('Cineplex Cinemas Dartmouth Crossing', 190, '3D', 'Canada, Dartmouth'),
('Cineplex Cinemas Langley', 290, 'IMAX', 'Canada, Langley'),
('Cineplex Cinemas Markham', 240, 'Standard', 'Canada, Markham'),
('Cineplex Cinemas Mississauga', 310, '3D', 'Canada, Mississauga'),
('Cineplex Cinemas Queensway', 220, 'IMAX', 'Canada, Toronto'),
('Cineplex Cinemas Scarborough', 220, 'IMAX', 'Canada, Toronto'),
('Cineplex Cinemas Vaughan', 190, 'IMAX', 'Canada, Vaughan'),
('Cineplex Cinemas Yonge-Dundas', 170, '3D', 'Canada, Toronto'),
('Cineplex Cologne', 200, 'IMAX', 'Germany, Cologne'),
('Cineplex Green Plaza', 190, '3D', 'Egypt, Alexandria'),
('Cineplex Leipzig', 220, 'IMAX', 'Germany, Leipzig'),
('Cineplex Mall of Arabia', 280, 'IMAX', 'Egypt, Giza'),
('Cineplex Mannheim', 310, '3D', 'Germany, Mannheim'),
('Cineplex Odeon', 170, '3D', 'Canada, Toronto'),
('Cineplex Odeon Eglinton Town Centre Cinemas', 290, '3D', 'Canada, Scarborough'),
('Cineplex Odeon International Village', 200, '3D', 'Canada, Vancouver'),
('Cineplex Odeon South Edmonton Cinemas', 190, '3D', 'Canada, Edmonton'),
('Cineplex Pforzheim', 310, '3D', 'Germany, Pforzheim'),
('Cineplex Scotiabank Theatre Toronto', 280, 'IMAX', 'Canada, Toronto'),
