('Christopher', 'Nolan', 'British'),
('Pedro', 'Almodóvar', 'Spanish'),
('Bong', 'Joon-ho', 'South Korean'),
('Greta', 'Gerwig', 'American'),
('Denis', 'Villeneuve', 'Canadian'),
('Guillermo', 'del Toro', 'Mexican'),
('Hayao', 'Miyazaki', 'Japanese'),
('Alfred', 'Hitchcock', 'British'),
('Akira', 'Kurosawa', 'Japanese'),
('Federico', 'Fellini', 'Italian'),
('Steven', 'Spielberg', 'American'),
('Ingmar', 'Bergman', 'Swedish'),
('Joel', 'Coen', 'American'),
('Ethan', 'Coen', 'American'),
('David', 'Fincher', 'American'),
('Roman', 'Polanski', 'Polish'),
('Jean-Luc', 'Godard', 'French'),
('Ridley', 'Scott', 'British'),
('Spike', 'Lee', 'American'),
('Woody', 'Allen', 'American'),
('Orson', 'Welles', 'American'),
('David', 'Lynch', 'American'),
('Christopher', 'Nolan', 'British'),
('Quentin', 'Tarantino', 'American'),
('Pedro', 'Almodóvar', 'Spanish'),
('Bong', 'Joon-ho', 'South Korean'),
('Greta', 'Gerwig', 'American'),
('Denis', 'Villeneuve', 'Canadian'),
('Guillermo', 'del Toro', 'Mexican'),
('Sofia', 'Coppola', 'American'),
('Martin', 'Scorsese', 'American'),
('Stanley', 'Kubrick', 'American'),
('Wong', 'Kar-wai', 'Hong Kong'),
('Satyajit', 'Ray', 'Indian'),
('François', 'Truffaut', 'French'),
('Akira', 'Kurosawa', 'Japanese'),
('Federico', 'Fellini', 'Italian'),
('Joel', 'Coen', 'American'),
('Ethan', 'Coen', 'American'),
('Roman', 'Polanski', 'Polish'),
('David', 'Fincher', 'American'),
('Spike', 'Lee', 'American'),
('Woody', 'Allen', 'American'),
('Orson', 'Welles', 'American'),
('David', 'Lynch', 'American'),
('Michael', 'Haneke', 'Austrian'),
('Gus', 'Van Sant', 'American'),
('Clint', 'Eastwood', 'American'),
('Abbas', 'Kiarostami', 'Iranian'),
('Wes', 'Anderson', 'American'),
('Dario', 'Argento', 'Italian'),
('Ken', 'Loach', 'British'),
('Jean-Pierre', 'Jeunet', 'French'),
('Sofia', 'Coppola', 'American'),
('Park', 'Chan-wook', 'South Korean'),
('Ang', 'Lee', 'Taiwanese'),
('Vittorio', 'De Sica', 'Italian'),
('Zhang', 'Yimou', 'Chinese'),
('Joel', 'Schumacher', 'American'),
('Terry', 'Gilliam', 'American'),
('David', 'Cronenberg', 'Canadian'),
('Danny', 'Boyle', 'British'),
('James', 'Cameron', 'Canadian'),
('Ridley', 'Scott', 'British'),
('Akira', 'Kurosawa', 'Japanese'),
('Abbas', 'Kiarostami', 'Iranian'),
('Michael', 'Moore', 'American'),
('Wong', 'Kar-wai', 'Hong Kong'),
('Agnes', 'Varda', 'French'),
('Paul', 'Thomas Anderson', 'American'),
('Federico', 'Fellini', 'Italian'),
('Wes', 'Craven', 'American'),
('John', 'Ford', 'American'),
('Ang', 'Lee', 'Taiwanese'),
('Hayao', 'Miyazaki', 'Japanese'),
('Nuri', 'Bilge Ceylan', 'Turkish'),
('Darren', 'Aronofsky', 'American'),
('Joel', 'Coen', 'American'),
('Ethan', 'Coen', 'American'),
('Roman', 'Polanski', 'Polish'),
('David', 'Fincher', 'American'),
('Spike', 'Jonze', 'American'),
('Francis', 'Ford Coppola', 'American'),
('Milos', 'Forman', 'Czech'),
('Roberto', 'Benigni', 'Italian'),
('Jean', 'Renoir', 'French'),
('Andrei', 'Tarkovsky', 'Russian'),
('Clint', 'Eastwood', 'American'),
('John', 'Cassavetes', 'American'),
('Hayao', 'Miyazaki', 'Japanese'),
('Werner', 'Herzog', 'German'),
('Wong', 'Kar-wai', 'Hong Kong'),
('Yorgos', 'Lanthimos', 'Greek'),
('Alfonso', 'Cuarón', 'Mexican'),
('John', 'Hughes', 'American'),
('Sergio', 'Leone', 'Italian'),
('M.', 'Night Shyamalan', 'American'),
('Terrence', 'Malick', 'American'),
('Fritz', 'Lang', 'Austrian'),
('Jim', 'Jarmusch', 'American'),
('Michael', 'Mann', 'American'),
('Wong', 'Kar-wai', 'Hong Kong'),
('Kenji', 'Mizoguchi', 'Japanese'),
('Jonathan', 'Demme', 'American'),
('Oliver', 'Stone', 'American'),
('Robert', 'Altman', 'American'),
('Tim', 'Burton', 'American'),
('Alejandro', 'González Iñárritu', 'Mexican'),
('Park', 'Chan-wook', 'South Korean'),
('Lynne', 'Ramsay', 'British'),
('Damien', 'Chazelle', 'American'),
('Aki', 'Kaurismäki', 'Finnish'),
('John', 'Woo', 'Hong Kong'),
('John', 'Carpenter', 'American'),
('Jane', 'Campion', 'New Zealander'),
('Erich', 'von Stroheim', 'Austrian'),
('Todd', 'Phillips', 'American'),
('Catherine', 'Breillat', 'French'),
('Jane', 'Campion', 'New Zealander'),
('Hou', 'Hsiao-hsien', 'Taiwanese'),
('Lucrecia', 'Martel', 'Argentine'),
('Fatih', 'Akin', 'German'),
('George', 'Miller', 'Australian'),
('Frank', 'Darabont', 'American'),
('Werner', 'Herzog', 'German'),
('Alejandro', 'Amenábar', 'Spanish'),
('David', 'Lynch', 'American'),
('Lars', 'von Trier', 'Danish'),
('Kim', 'Ki-duk', 'South Korean'),
('Apichatpong', 'Weerasethakul', 'Thai'),
('Dziga', 'Vertov', 'Russian'),
('Ermanno', 'Olmi', 'Italian'),
('Robert', 'Bresson', 'French'),
('Jacques', 'Rivette', 'French'),
('Claude', 'Lanzmann', 'French'),
('Ken', 'Russell', 'British'),
('Nicholas', 'Ray', 'American'),
('Eric', 'Rohmer', 'French'),
('Mike', 'Leigh', 'British'),
('Fred', 'Zinnemann', 'Austrian'),
('Alan', 'Clarke', 'British'),
('Jafar', 'Panahi', 'Iranian'),
('Ken', 'Loach', 'British'),
('Cristian', 'Mungiu', 'Romanian'),
('Nanni', 'Moretti', 'Italian'),
('Carlos', 'Reygadas', 'Mexican'),
('Belá', 'Tarr', 'Hungarian'),
('Pedro', 'Costa', 'Portuguese'),
('Bela', 'Tarr', 'Hungarian'),
('Hou', 'Hsiao-hsien', 'Taiwanese'),
('Tsai', 'Ming-liang', 'Taiwanese'),
('Jia', 'Zhangke', 'Chinese'),
('Abderrahmane', 'Sissako', 'Mauritanian'),
('Kelly', 'Reichardt', 'American'),
('Steven', 'Soderbergh', 'American'),
('Michael', 'Haneke', 'Austrian'),
('Jim', 'Jarmusch', 'American'),
('Terrence', 'Malick', 'American'),
('Abbas', 'Kiarostami', 'Iranian'),
('Atom', 'Egoyan', 'Canadian'),
('Jacques', 'Tati', 'French'),
('Hsiao-Hsien', 'Hou', 'Taiwanese'),
('Zeki', 'Demirkubuz', 'Turkish'),
('Zhangke', 'Jia', 'Chinese'),
('Lav', 'Diaz', 'Filipino'),
('Hsiao-Hsien', 'Hou', 'Taiwanese'),
('Abbas', 'Kiarostami', 'Iranian'),
('Atom', 'Egoyan', 'Canadian'),
('Jacques', 'Tati', 'French'),
('Zeki', 'Demirkubuz', 'Turkish'),
('Zhangke', 'Jia', 'Chinese'),
('Lav', 'Diaz', 'Filipino'),
('Takeshi', 'Kitano', 'Japanese'),
('Cristian', 'Mungiu', 'Romanian'),
('Nanni', 'Moretti', 'Italian'),
('Carlos', 'Reygadas', 'Mexican'),
('Takeshi', 'Kitano', 'Japanese'),
('Takashi', 'Miike', 'Japanese'),
('Wes', 'Anderson', 'American'),
('Ridley', 'Scott', 'British'),
('Luc', 'Besson', 'French'),
('David', 'O. Russell', 'American'),
('Robert', 'Zemeckis', 'American'),
('Gus', 'Van Sant', 'American'),
('Steven', 'Soderbergh', 'American'),
('Ron', 'Howard', 'American'),
('Tim', 'Burton', 'American'),
('James', 'Cameron', 'Canadian'),
('Frank', 'Darabont', 'American'),
('Oliver', 'Stone', 'American'),
('Michael', 'Mann', 'American'),
('Joel', 'Schumacher', 'American'),
('Sam', 'Raimi', 'American'),
('Paul', 'Verhoeven', 'Dutch'),
('Brian', 'De Palma', 'American'),
('John', 'Hughes', 'American'),
('Woody', 'Allen', 'American'),
('Quentin', 'Tarantino', 'American'),
('Christopher', 'Nolan', 'British'),
('Martin', 'Scorsese', 'American'),
('David', 'Fincher', 'American'),
('Steven', 'Spielberg', 'American'),
('Alfred', 'Hitchcock', 'British'),
('Stanley', 'Kubrick', 'American'),
('Akira', 'Kurosawa', 'Japanese'),
('Federico', 'Fellini', 'Italian'),
('Ingmar', 'Bergman', 'Swedish'),
('Charlie', 'Chaplin', 'British'),
('Andrei', 'Tarkovsky', 'Russian'),
('Roman', 'Polanski', 'Polish'),
('Jean-Luc', 'Godard', 'French'),
('Francis', 'Ford Coppola', 'American'),
('Orson', 'Welles', 'American'),
('Woody', 'Allen', 'American'),
('Clint', 'Eastwood', 'American'),
('David', 'Lynch', 'American'),
('Hayao', 'Miyazaki', 'Japanese'),
('Billy', 'Wilder', 'Austrian'),
('Spike', 'Lee', 'American'),
('Tim', 'Burton', 'American'),
('Wong', 'Kar-wai', 'Hong Kong'),
('David', 'Cronenberg', 'Canadian'),
('John', 'Ford', 'American'),
('Ethan', 'Coen', 'American'),
('Joel', 'Coen', 'American'),
('Paul', 'Thomas Anderson', 'American'),
('Darren', 'Aronofsky', 'American'),
('Jim', 'Jarmusch', 'American'),
('John', 'Cassavetes', 'American'),
('Terrence', 'Malick', 'American'),
('Sofia', 'Coppola', 'American'),
('Quentin', 'Tarantino', 'American'),
('Christopher', 'Nolan', 'British'),
('Martin', 'Scorsese', 'American'),
('Steven', 'Spielberg', 'American'),
('Alfred', 'Hitchcock', 'British'),
('Akira', 'Kurosawa', 'Japanese'),
('Federico', 'Fellini', 'Italian'),
('Ingmar', 'Bergman', 'Swedish'),
('Charlie', 'Chaplin', 'British'),
('Andrei', 'Tarkovsky', 'Russian'),
('Roman', 'Polanski', 'Polish'),
('Jean-Luc', 'Godard', 'French'),
('Francis', 'Ford Coppola', 'American'),
('Orson', 'Welles', 'American'),
('Woody', 'Allen', 'American'),
('Clint', 'Eastwood', 'American'),
('David', 'Lynch', 'American'),
('Hayao', 'Miyazaki', 'Japanese'),
('Billy', 'Wilder', 'Austrian'),
('Spike', 'Lee', 'American'),
('Tim', 'Burton', 'American'),
('Wong', 'Kar-wai', 'Hong Kong'),
('David', 'Cronenberg', 'Canadian'),
('John', 'Ford', 'American'),
('Ethan', 'Coen', 'American'),
('Joel', 'Coen', 'American'),
('Paul', 'Thomas Anderson', 'American'),
('Darren', 'Aronofsky', 'American'),
('Jim', 'Jarmusch', 'American'),
('John', 'Cassavetes', 'American'),
('Terrence', 'Malick', 'American'),
('Sofia', 'Coppola', 'American'),
('John', 'Woo', 'Hong Kong'),
('John', 'Carpenter', 'American'),
('Jane', 'Campion', 'New Zealander'),
('Erich', 'von Stroheim', 'Austrian'),
('Todd', 'Phillips', 'American'),
('Catherine', 'Breillat', 'French'),
('Jane', 'Campion', 'New Zealander'),
('Hou', 'Hsiao-hsien', 'Taiwanese'),
('Lucrecia', 'Martel', 'Argentine'),
('Fatih', 'Akin', 'German'),
('George', 'Miller', 'Australian'),
('Frank', 'Darabont', 'American'),
('Werner', 'Herzog', 'German'),
('Alejandro', 'Amenábar', 'Spanish'),
('David', 'Lynch', 'American'),
('Lars', 'von Trier', 'Danish'),
('Kim', 'Ki-duk', 'South Korean'),
('Apichatpong', 'Weerasethakul', 'Thai'),
('Dziga', 'Vertov', 'Russian'),
('Jin-ho', 'Hur', 'South Korean'),
('Jae-young', 'Kwak', 'South Korean'),
('Min-sik', 'Choi', 'South Korean'),
('Soo-sung', 'Lee', 'South Korean'),
('Seung-wan', 'Ryoo', 'South Korean'),
('Wook', 'Park', 'South Korean'),
('Soo-youn', 'Lee', 'South Korean'),
('Sung-su', 'Kim', 'South Korean'),
('Hae-sung', 'Song', 'South Korean'),
('Ki-duk', 'Kim', 'South Korean'),
('Jong-hoon', 'Yoon', 'South Korean'),
('Byung-gil', 'Jung', 'South Korean'),
('Dae-woo', 'Kim', 'South Korean'),
('Joon-hwan', 'Jang', 'South Korean'),
('Kyoung-Taek', 'Kwon', 'South Korean'),
('Sung-Bo', 'Shim', 'South Korean'),
('Il-gon', 'Song', 'South Korean'),
('Tae-kyung', 'Kim', 'South Korean'),
('Dae-woong', 'Lim', 'South Korean'),
('Soo-sung', 'Lee', 'South Korean'),
('Hoon-jung', 'Park', 'South Korean'),
('Jae-young', 'Kwak', 'South Korean'),
('Wook', 'Park', 'South Korean'),
('Jin-Ho', 'Hur', 'South Korean'),
('Hun', 'Jang', 'South Korean'),
('Min-sik', 'Choi', 'South Korean'),
('Jae-kyoon', 'Kang', 'South Korean'),
('Sang-ho', 'Yeon', 'South Korean'),
('Hae-sung', 'Song', 'South Korean'),
('Min-suk', 'Kim', 'South Korean'),
('Soo-youn', 'Lee', 'South Korean'),
('Jong-bin', 'Yoon', 'South Korean'),
('Jae-Hyun', 'Jang', 'South Korean'),
('Kyu-tae', 'Kim', 'South Korean'),
('Jong-Yeol', 'Baek', 'South Korean'),
('Yong-Kyun', 'Bae', 'South Korean'),
('Jong-chan', 'Yun', 'South Korean'),
('Hae-sung', 'Song', 'South Korean'),
('Chul-soo', 'Jang', 'South Korean'),
('Byoung-gon', 'Moon', 'South Korean'),
('Jin-ho', 'Hur', 'South Korean'),
('Chan-wook', 'Park', 'South Korean'),
('Hae-sung', 'Song', 'South Korean'),
('Jong-hoon', 'Yoon', 'South Korean'),
('Byung-gil', 'Jung', 'South Korean'),
('Dae-woo', 'Kim', 'South Korean'),
('Joon-hwan', 'Jang', 'South Korean'),
('Kyoung-Taek', 'Kwon', 'South Korean'),
('Jae-young', 'Kwak', 'South Korean'),
('Jin-Ho', 'Hur', 'South Korean'),
('Hun', 'Jang', 'South Korean'),
('Min-sik', 'Choi', 'South Korean'),
('Soo-sung', 'Lee', 'South Korean'),
('Seung-wan', 'Ryoo', 'South Korean'),
('Wook', 'Park', 'South Korean'),
('Soo-youn', 'Lee', 'South Korean'),
('Sung-su', 'Kim', 'South Korean'),
('Hae-sung', 'Song', 'South Korean'),
('Ki-duk', 'Kim', 'South Korean'),
('Jong-hoon', 'Yoon', 'South Korean'),
('Byung-gil', 'Jung', 'South Korean'),
('Dae-woo', 'Kim', 'South Korean'),
('Joon-hwan', 'Jang', 'South Korean'),
('Kyoung-Taek', 'Kwon', 'South Korean'),
('Sung-Bo', 'Shim', 'South Korean'),
('Il-gon', 'Song', 'South Korean'),
('Tae-kyung', 'Kim', 'South Korean'),
('Dae-woong', 'Lim', 'South Korean'),
('Soo-sung', 'Lee', 'South Korean'),
('Hoon-jung', 'Park', 'South Korean'),
('Jae-young', 'Kwak', 'South Korean'),
('Wook', 'Park', 'South Korean'),
('Jin-Ho', 'Hur', 'South Korean'),
('Hun', 'Jang', 'South Korean'),
('Min-sik', 'Choi', 'South Korean'),
('Jae-kyoon', 'Kang', 'South Korean'),
('Sang-ho', 'Yeon', 'South Korean'),
('Hae-sung', 'Song', 'South Korean'),
('Min-suk', 'Kim', 'South Korean'),
('Soo-youn', 'Lee', 'South Korean'),
('Jong-bin', 'Yoon', 'South Korean'),
('Jae-Hyun', 'Jang', 'South Korean'),
('Kyu-tae', 'Kim', 'South Korean'),
('Jong-Yeol', 'Baek', 'South Korean'),
('Yong-Kyun', 'Bae', 'South Korean'),
('Jong-chan', 'Yun', 'South Korean'),
('Hae-sung', 'Song', 'South Korean'),
('Chul-soo', 'Jang', 'South Korean'),
('Byoung-gon', 'Moon', 'South Korean'),
('Jin-ho', 'Hur', 'South Korean'),
('Chan-wook', 'Park', 'South Korean'),
('Hae-sung', 'Song', 'South Korean'),
('Jong-hoon', 'Yoon', 'South Korean'),
('Byung-gil', 'Jung', 'South Korean'),
('Dae-woo', 'Kim', 'South Korean'),
('Joon-hwan', 'Jang', 'South Korean'),
('Kyoung-Taek', 'Kwon', 'South Korean'),
('Jae-young', 'Kwak', 'South Korean'),
('Jin-Ho', 'Hur', 'South Korean'),
('Hun', 'Jang', 'South Korean'),
('Min-sik', 'Choi', 'South Korean'),
('Soo-sung', 'Lee', 'South Korean'),
('Seung-wan', 'Ryoo', 'South Korean'),
('Wook', 'Park', 'South Korean'),
('Soo-youn', 'Lee', 'South Korean'),
('Sung-su', 'Kim', 'South Korean'),
('Hae-sung', 'Song', 'South Korean'),
('Ki-duk', 'Kim', 'South Korean'),
('Jong-hoon', 'Yoon', 'South Korean'),
('Byung-gil', 'Jung', 'South Korean'),
('Dae-woo', 'Kim', 'South Korean'),
('Joon-hwan', 'Jang', 'South Korean'),
('Kyoung-Taek', 'Kwon', 'South Korean'),
('Sung-Bo', 'Shim', 'South Korean'),
('Il-gon', 'Song', 'South Korean'),
('Tae-kyung', 'Kim', 'South Korean'),
('Dae-woong', 'Lim', 'South Korean'),
('Soo-sung', 'Lee', 'South Korean'),
('Hoon-jung', 'Park', 'South Korean'),
('Jae-young', 'Kwak', 'South Korean'),
('Wook', 'Park', 'South Korean'),
('Jin-Ho', 'Hur', 'South Korean'),
('Hun', 'Jang', 'South Korean'),
('Min-sik', 'Choi', 'South Korean'),
('Jae-kyoon', 'Kang', 'South Korean'),
('Sang-ho', 'Yeon', 'South Korean'),
('Hae-sung', 'Song', 'South Korean'),
('Min-suk', 'Kim', 'South Korean'),
('Soo-youn', 'Lee', 'South Korean'),
('Jong-bin', 'Yoon', 'South Korean'),
('Jae-Hyun', 'Jang', 'South Korean'),
('Kyu-tae', 'Kim', 'South Korean'),
('Jong-Yeol', 'Baek', 'South Korean'),
('Yong-Kyun', 'Bae', 'South Korean'),
('Jong-chan', 'Yun', 'South Korean'),
('Hae-sung', 'Song', 'South Korean'),
('Chul-soo', 'Jang', 'South Korean'),
('Byoung-gon', 'Moon', 'South Korean'),
('Jin-ho', 'Hur', 'South Korean'),
('Chan-wook', 'Park', 'South Korean'),
('Hae-sung', 'Song', 'South Korean'),
('Jong-hoon', 'Yoon', 'South Korean'),
('Byung-gil', 'Jung', 'South Korean'),
('Dae-woo', 'Kim', 'South Korean'),
('Joon-hwan', 'Jang', 'South Korean'),
('Kyoung-Taek', 'Kwon', 'South Korean'),
('Jae-young', 'Kwak', 'South Korean'),
('Jin-Ho', 'Hur', 'South Korean'),
('Hun', 'Jang', 'South Korean'),
('Min-sik', 'Choi', 'South Korean'),
('Soo-sung', 'Lee', 'South Korean'),
('Seung-wan', 'Ryoo', 'South Korean'),
('Wook', 'Park', 'South Korean'),
('Soo-youn', 'Lee', 'South Korean'),
('Sung-su', 'Kim', 'South Korean'),
('Hae-sung', 'Song', 'South Korean'),
('Ki-duk', 'Kim', 'South Korean'),
('Jong-hoon', 'Yoon', 'South Korean'),
('Byung-gil', 'Jung', 'South Korean'),
('Dae-woo', 'Kim', 'South Korean'),
('Joon-hwan', 'Jang', 'South Korean'),
('Kyoung-Taek', 'Kwon', 'South Korean'),
('Sung-Bo', 'Shim', 'South Korean'),
('Il-gon', 'Song', 'South Korean'),
('Tae-kyung', 'Kim', 'South Korean'),
('Dae-woong', 'Lim', 'South Korean'),
('Soo-sung', 'Lee', 'South Korean'),
('Hoon-jung', 'Park', 'South Korean'),
('Jae-young', 'Kwak', 'South Korean'),
('Wook', 'Park', 'South Korean'),
('Jin-Ho', 'Hur', 'South Korean'),
('Hun', 'Jang', 'South Korean'),
('Min-sik', 'Choi', 'South Korean'),
('Jae-kyoon', 'Kang', 'South Korean'),
('Sang-ho', 'Yeon', 'South Korean'),
('Hae-sung', 'Song', 'South Korean'),
('Min-suk', 'Kim', 'South Korean'),
('Soo-youn', 'Lee', 'South Korean'),
('Jong-bin', 'Yoon', 'South Korean'),
('Jae-Hyun', 'Jang', 'South Korean'),
('Kyu-tae', 'Kim', 'South Korean'),
('Jong-Yeol', 'Baek', 'South Korean'),
('Yong-Kyun', 'Bae', 'South Korean'),
('Jong-chan', 'Yun', 'South Korean'),
('Hae-sung', 'Song', 'South Korean'),
('Chul-soo', 'Jang', 'South Korean'),
('Byoung-gon', 'Moon', 'South Korean'),
